ICD9Code,ShortDescription
0771,Exploration of pituitary fossa
0843,Repair of entropion or ectropion with wedge resection
0852,Blepharorrhaphy
0862,Reconstruction of eyelid with mucous membrane flap or graft
0885,"Other repair of laceration of eyelid, full-thickness"
0911,Biopsy of lacrimal gland
092,Excision of lesion or tissue of lacrimal gland
100,Removal of embedded foreign body from conjunctiva by incision
1031,Excision of lesion or tissue of conjunctiva
115,Repair of cornea
1171,Keratomileusis
119,Other operations on cornea
30,Excision of larynx
3001,Marsupialization of laryngeal cyst
3141,Tracheoscopy through artificial stoma
3148,Other diagnostic procedures on larynx
317,Repair and plastic operations on trachea
322,Local excision or destruction of lesion or tissue of lung
3239,Other and unspecified segmental resection of lung
3195,Tracheoesophageal fistulization
3198,Other operations on larynx
321,Other excision of bronchus
3350,"Lung transplantation, not otherwise specified"
3373,"Endoscopic insertion or replacement of bronchial valve(s), multiple lobes"
3398,Other operations on bronchus
341,Incision of mediastinum
3459,Other excision of pleura
3501,"Closed heart valvotomy, aortic valve"
3525,Open and other replacement of pulmonary valve with tissue graft
3584,"Total correction of transposition of great vessels, not elsewhere classified"
360,Removal of coronary artery obstruction and insertion of stent(s)
3601,Single vessel percutaneous transluminal coronary angioplasty [PTCA] or coronary atherectomy without mention of thrombolytic agent
2953,Closure of other fistula of pharynx
2954,Lysis of pharyngeal adhesions
300,Excision or destruction of lesion or tissue of larynx
304,Radical laryngectomy
3164,Repair of laryngeal fracture
320,Local excision or destruction of lesion or tissue bronchus
3220,Thoracoscopic excision of lesion or tissue of lung
3145,Open biopsy of larynx or trachea
3162,Closure of fistula of larynx
3259,Other and unspecified pneumonectomy
3329,Other diagnostic procedures on lung or bronchus
3331,Destruction of phrenic nerve for collapse of lung
3339,Other surgical collapse of lung
339,Other operations on lung and bronchus
3420,Thoracoscopic pleural biopsy
3506,Transapical replacement of aortic valve
3539,Operations on other structures adjacent to valves of heart
4382,Laparoscopic vertical (SLEEVE) gastrectomy
4401,Truncal vagotomy
4440,"Suture of peptic ulcer, not otherwise specified"
4526,Open biopsy of large intestine
453,Local excision or destruction of lesion or tissue of small intestine
4531,Other local excision of lesion of duodenum
4571,Open and other multiple segmental resection of large intestine
4590,"Intestinal anastomosis, not otherwise specified"
4676,Closure of fistula of large intestine
4679,Other repair of intestine
4686,Endoscopic insertion of colonic stent(s)
469,Other operations on intestines
4693,Revision of anastomosis of small intestine
4822,Proctosigmoidoscopy through artificial stoma
4833,Destruction of rectal lesion or tissue by laser
389,Puncture of vessel
3927,Arteriovenostomy for renal dialysis
393,Suture of vessel
3974,Endovascular removal of obstruction from head and neck vessel(s)
4061,Cannulation of thoracic duct
4109,Autologous bone marrow transplant with purging
412,Splenotomy
4191,Aspiration of bone marrow from donor for transplant
4258,Intrathoracic esophageal anastomosis with other interposition
4266,Other antesternal esophagocolostomy
4319,Other gastrostomy
3349,Other repair and plastic operations on lung
335,Lung transplant
347,Repair of chest wall
3489,Other operations on diaphragm
3523,Open and other replacement of mitral valve with tissue graft
3528,Open and other replacement of tricuspid valve
3562,Repair of ventricular septal defect with tissue graft
3594,Creation of conduit between atrium and pulmonary artery
3604,Intracoronary artery thrombolytic infusion
2992,Division of glossopharyngeal nerve
313,Other incision of larynx or trachea
3163,Revision of laryngostomy
32,Excision of lung and bronchus
3320,Thoracoscopic lung biopsy
3326,Closed [PERCUTANEOUS] [NEEDLE] biopsy of lung
333,Surgical collapse of lung
1029,Other diagnostic procedures on conjunctiva
1041,Repair of symblepharon with free graft
106,Repair of laceration of conjunctiva
109,Other operations on conjunctiva
110,Magnetic removal of embedded foreign body from cornea
1121,Scraping of cornea for smear or culture
1152,Repair of postoperative wound dehiscence of cornea
117,Other reconstructive and refractive surgery on cornea
1233,Lysis of posterior synechiae
1234,Lysis of corneovitreal adhesions
1259,Other facilitation of intraocular circulation
1279,Other glaucoma procedures
128,Operations on sclera
1292,Injection into anterior chamber
1301,Removal of foreign body from lens with use of magnet
137,Insertion of prosthetic lens [PSEUDOPHAKOS]
1391,Implantation of intraocular telescope prosthesis
1402,Removal of foreign body from posterior segment of eye without use of magnet
1425,Destruction of chorioretinal lesion by photocoagulation of unspecified type
1454,Repair of retinal detachment with laser photocoagulation
3803,"Incision of vessel, upper limb vessels"
3825,Intravascular imaging of non-coronary vessel(s) by optical coherence tomography [OCT]
3833,"Resection of vessel with anastomosis, upper limb vessels"
3839,"Resection of vessel with anastomosis, lower limb veins"
3840,"Resection of vessel with replacement, unspecified site"
3841,"Resection of vessel with replacement, intracranial vessels"
3849,"Resection of vessel with replacement, lower limb veins"
3880,"Other surgical occlusion of vessels, unspecified site"
3889,"Other surgical occlusion of vessels, lower limb veins"
392,Other shunt or vascular bypass
3979,Other endovascular procedures on other vessels
3995,Hemodialysis
4022,Excision of internal mammary lymph node
4042,"Radical neck dissection, bilateral"
405,Radical excision of other lymph nodes
4051,Radical excision of axillary lymph nodes
0745,Reimplantation of adrenal tissue
075,Operations on pineal gland
0763,"Partial excision of pituitary gland, unspecified approach"
078,Thymectomy
0820,"Removal of lesion of eyelid, not otherwise specified"
0836,Repair of blepharoptosis by other techniques
0837,Reduction of overcorrection of ptosis
0874,"Other reconstruction of eyelid, full-thickness"
0881,Linear repair of laceration of eyelid or eyebrow
0882,"Repair of laceration involving lid margin, partial-thickness"
104,Conjunctivoplasty
1043,Other reconstruction of conjunctival cul-de-sac
1142,Thermocauterization of corneal lesion
1199,Other operations on cornea
120,Removal of intraocular foreign body from anterior segment of eye
1213,Excision of prolapsed iris
3429,Other diagnostic procedures on mediastinum
3500,"Closed heart valvotomy, unspecified valve"
3505,Endovascular replacement of aortic valve
3520,Open and other replacement of unspecified heart valve
3533,Annuloplasty
3561,Repair of atrial septal defect with tissue graft
358,Total repair of certain congenital cardiac anomalies
3582,Total repair of total anomalous pulmonary venous connection
3597,Percutaneous mitral valve repair with implant
3599,Other operations on valves of heart
3610,"Aortocoronary bypass for heart revascularization, not otherwise specified"
3341,Suture of laceration of bronchus
3399,Other operations on lung
340,Incision of chest wall and pleura
3405,Creation of pleuroperitoneal shunt
3406,Thoracoscopic drainage of pleural cavity
3508,Transapical replacement of pulmonary valve
353,Operations on structures adjacent to heart valves
3532,Operations on chordae tendineae
355,Repair of atrial and ventricular septa with prosthesis
3550,Repair of unspecified septal defect of heart with prosthesis
3553,"Repair of ventricular septal defect with prosthesis, open technique"
356,Repair of atrial and ventricular septa with tissue graft
3581,Total repair of tetralogy of fallot
3605,"""multiple vessel percutaneous transluminal coronary angioplasty [PTCA] or coronary atherectomy performed during the same operation, with or without mention of thrombolytic agent"""
3606,Insertion of non-drug-eluting coronary artery stent(s)
3712,Pericardiotomy
3723,Combined right and left heart cardiac catheterization
3737,"Excision or destruction of other lesion or tissue of heart, thoracoscopic approach"
3223,Open ablation of lung lesion or tissue
330,Incision of bronchus
3321,Bronchoscopy through artificial stoma
3333,Pneumoperitoneum for collapse of lung
3334,Thoracoplasty
3343,Closure of laceration of lung
3352,Bilateral lung transplantation
3372,Endoscopic pulmonary airway flow measurement
3403,Reopening of recent thoracotomy site
3409,Other incision of pleura
3484,Other repair of diaphragm
4947,Evacuation of thrombosed hemorrhoids
5094,Other injection of therapeutic substance into liver
5115,Pressure measurement of sphincter of oddi
5119,Other diagnostic procedures on biliary tract
518,Other operations on biliary ducts and sphincter of oddi
5214,Closed [ENDOSCOPIC] biopsy of pancreatic duct
4402,Highly selective vagotomy
450,Enterotomy
4576,Open and other sigmoidectomy
4791,Appendicostomy
4799,Other operations on appendix
481,Proctostomy
4843,Open pull-through resection of rectum
4849,Other pull-through resection of rectum
4863,Other anterior resection of rectum
4893,Repair of perirectal fistula
49,Operations on anus
496,Excision of anus
4991,Incision of anal septum
4992,Insertion of subcutaneous electrical anal stimulator
5022,Partial hepatectomy
3722,Left heart cardiac catheterization
3751,Heart transplantation
3754,Replacement or repair of other implantable component of (TOTAL) replacement heart system
1212,Other iridotomy
1253,Goniotomy with goniopuncture
1266,Postoperative revision of scleral fistulization procedure
1286,Other repair of scleral staphyloma
1341,Phacoemulsification and aspiration of cataract
1343,Mechanical phacofragmentation and other aspiration of cataract
1419,"Other diagnostic procedures on retina, choroid, vitreous, and posterior chamber"
1424,Destruction of chorioretinal lesion by laser photocoagulation
1427,Destruction of chorioretinal lesion by implantation of radiation source
1513,Resection of one extraocular muscle
152,Other operations on one extraocular muscle
16,Operations on orbit and eyeball
1609,Other orbitotomy
162,Diagnostic procedures on orbit and eyeball
163,Evisceration of eyeball
1663,Revision of enucleation socket with graft
1481,Implantation of epiretinal visual prosthesis
1482,Removal of epiretinal visual prosthesis
1521,Lengthening procedure on one extraocular muscle
155,Transposition of extraocular muscles
1671,Removal of ocular implant
1692,Excision of lesion of orbit
1722,Laparoscopic bilateral repair of indirect inguinal hernia with graft or prosthesis
1739,Other laparoscopic partial excision of large intestine
174,Robotic assisted procedures
1769,Laser interstitial thermal therapy [LITT] of lesion or tissue of other and unspecified site under guidance
1771,Non-coronary intra-operative fluorescence vascular angiography [IFVA]
1953,Type III tympanoplasty
4107,Autologous hematopoietic stem cell transplant with purging
4143,Partial splenectomy
422,Diagnostic procedures on esophagus
426,Antesternal anastomosis of esophagus
4283,Closure of esophagostomy
4442,Suture of duodenal ulcer site
449,Other operations on stomach
4501,Incision of duodenum
4515,Open biopsy of small intestine
3404,Insertion of intercostal catheter for drainage
3428,"Other diagnostic procedures on chest wall, pleura, and diaphragm"
343,Excision or destruction of lesion or tissue of mediastinum
3483,Closure of fistula of diaphragm
3514,Open heart valvuloplasty of tricuspid valve without replacement
3542,Creation of septal defect in heart
3555,"Repair of ventricular septal defect with prosthesis, closed technique"
3591,Interatrial transposition of venous return
3632,Other transmyocardial revascularization
3725,Biopsy of heart
3726,Catheter based invasive electrophysiologic testing
374,Repair of heart and pericardium
1229,"Other diagnostic procedures on iris, ciliary body, sclera, and anterior chamber"
1231,Lysis of goniosynechiae
1263,Iridencleisis and iridotasis
1284,Excision or destruction of lesion of sclera
1369,Other cataract extraction
138,Removal of implanted lens
1434,Repair of retinal tear by laser photocoagulation
1641,Enucleation of eyeball with synchronous implant into tenon's capsule with attachment of muscles
1665,Secondary graft to exenteration cavity
1698,Other operations on orbit
1711,Laparoscopic repair of direct inguinal hernia with graft or prosthesis
1732,Laparoscopic cecectomy
1745,Thoracoscopic robotic assisted procedure
178,Other adjunct procedures
187,Other plastic repair of external ear
1872,Reattachment of amputated ear
3772,Initial insertion of transvenous leads [ELECTRODES] into atrium and ventricle
3775,Revision of lead [ELECTRODE]
3776,Replacement of transvenous atrial and/or ventricular lead(s) [ELECTRODE]
3834,"Resection of vessel with anastomosis, aorta"
3848,"Resection of vessel with replacement, lower limb arteries"
3863,"Other excision of vessels, upper limb vessels"
3867,"Other excision of vessels, abdominal veins"
3869,"Other excision of vessels, lower limb veins"
3891,Arterial catheterization
3923,Other intrathoracic vascular shunt or bypass
3965,Extracorporeal membrane oxygenation [ECMO]
3997,Other perfusion
3491,Thoracentesis
3492,Injection into thoracic cavity
351,Open heart valvuloplasty without replacement
3531,Operations on papillary muscle
3554,Repair of endocardial cushion defect with prosthesis
359,Other operations on valves and septa of heart
3592,Creation of conduit between right ventricle and pulmonary artery
3729,Other diagnostic procedures on heart and pericardium
3792,Injection of therapeutic substance into heart
380,Incision of vessel
3813,"Endarterectomy, upper limb vessels"
3821,Biopsy of blood vessel
3593,Creation of conduit between left ventricle and aorta
5110,Endoscopic retrograde cholangiopancreatography [ERCP]
520,Pancreatotomy
522,Local excision or destruction of pancreas and pancreatic duct
5295,Other repair of pancreas
5303,Other and open repair of direct inguinal hernia with graft or prosthesis
5312,Other and open bilateral repair of indirect inguinal hernia
5305,"Repair of inguinal hernia with graft or prosthesis, not otherwise specified"
5699,Other operations on ureter
5783,Repair of fistula involving bladder and intestine
58,Operations on urethra
581,Urethral meatotomy
5893,Implantation of artificial urinary sphincter [AUS]
5899,Other operations on urethra and periurethral tissue
1763,Laser interstitial thermal therapy [LITT] of lesion or tissue of liver under guidance
18,Operations on external ear
1819,Other diagnostic procedures on external ear
192,Revision of stapedectomy
194,Myringoplasty
2032,Biopsy of middle and inner ear
207,"""incision, excision, and destruction of inner ear"""
2093,Repair of oval and round windows
2172,Open reduction of nasal fracture
2182,Closure of nasal fistula
2263,Ethmoidectomy
227,Repair of nasal sinus
3779,Revision or relocation of cardiac device pocket
3806,"Incision of vessel, abdominal arteries"
3835,"Resection of vessel with anastomosis, other thoracic vessels"
3847,"Resection of vessel with replacement, abdominal veins"
386,Other excision of vessel
3888,"Other surgical occlusion of vessels, lower limb arteries"
3894,Venous cutdown
4528,Other diagnostic procedures on large intestine
4534,"Other destruction of lesion of small intestine, except duodenum"
4542,Endoscopic polypectomy of large intestine
4572,Open and other cecectomy
4575,Open and other left hemicolectomy
4591,Small-to-small intestinal anastomosis
4602,Resection of exteriorized segment of small intestine
4604,Resection of exteriorized segment of large intestine
461,Colostomy
4611,Temporary colostomy
464,Revision of intestinal stoma
467,Other repair of intestine
4701,Laparoscopic appendectomy
4709,Other appendectomy
4821,Transabdominal proctosigmoidoscopy
4865,Duhamel resection of rectum
4869,Other resection of rectum
492,Diagnostic procedures on anus and perianal tissue
4945,Ligation of hemorrhoids
4994,Reduction of anal prolapse
5021,Marsupialization of lesion of liver
5029,Other destruction of lesion of liver
5101,Percutaneous aspiration of gallbladder
5111,Endoscopic retrograde cholangiography [ERC]
5121,Other partial cholecystectomy
5161,Excision of cystic duct remnant
3631,Open chest transmyocardial revascularization
3711,Cardiotomy
3720,Noninvasive programmed electrical stimulation [NIPS]
3763,Repair of heart assist system
3771,Initial insertion of transvenous lead [ELECTRODE] into ventricle
1919,Other stapedectomy
201,Removal of tympanostomy tube
212,Diagnostic procedures on nose
213,Local excision or destruction of lesion of nose
400,Incision of lymphatic structures
4059,Radical excision of other lymph nodes
4062,Fistulization of thoracic duct
4192,Injection into bone marrow
4212,Exteriorization of esophageal pouch
4311,Percutaneous [ENDOSCOPIC] gastrostomy [PEG]
4341,Endoscopic excision or destruction of lesion or tissue of stomach
4342,Local excision of other lesion or tissue of stomach
437,Partial gastrectomy with anastomosis to jejunum
439,Total gastrectomy
4512,Endoscopy of small intestine through artificial stoma
4514,Closed [ENDOSCOPIC] biopsy of small intestine
4521,Transabdominal endoscopy of large intestine
3710,"Incision of heart, not otherwise specified"
3731,Pericardiectomy
3733,"Excision or destruction of other lesion or tissue of heart, open approach"
3752,Implantation of total internal biventricular heart replacement system
3753,Replacement or repair of thoracic unit of (TOTAL) replacement heart system
3766,Insertion of implantable heart assist system
3797,Replacement of automatic cardioverter/defibrillator lead(s) only
3799,Other operations on heart and pericardium
3787,Replacement of any type pacemaker device with dual-chamber device
3810,"Endarterectomy, unspecified site"
384,Resection of vessel with replacement
3866,"Other excision of vessels, abdominal arteries"
3881,"Other surgical occlusion of vessels, intracranial vessels"
3883,"Other surgical occlusion of vessels, upper limb vessels"
39,Other operations on vessels
3925,Aorta-iliac-femoral bypass
3977,Temporary (PARTIAL) therapeutic endovascular occlusion of vessel
3988,Removal of carotid sinus stimulation pulse generator only
3990,Insertion of non-drug-eluting peripheral (NON-CORONARY) vessel stent(s)
3885,"Other surgical occlusion of vessels, thoracic vessels"
3898,Other puncture of artery
3924,Aorta-renal bypass
395,Other repair of vessels
3953,Repair of arteriovenous fistula
3981,"Implantation or replacement of carotid sinus stimulation device, total system"
4040,"Radical neck dissection, not otherwise specified"
4232,Local excision of other lesion or tissue of esophagus
4284,"Repair of esophageal fistula, not elsewhere classified"
540,Incision of abdominal wall
541,Laparotomy
5492,Removal of foreign body from peritoneal cavity
5493,Creation of cutaneoperitoneal fistula
5522,Pyeloscopy
5535,Other and unspecified ablation of renal lesion or tissue
5553,Removal of transplanted or rejected kidney
5631,Ureteroscopy
568,Repair of ureter
5695,Ligation of ureter
5719,Other cystotomy
5721,Vesicostomy
574,Transurethral excision or destruction of bladder tissue
577,Total cystectomy
594,Suprapubic sling operation
5979,Other repair of urinary stress incontinence
5995,Ultrasonic fragmentation of urinary stones
601,Diagnostic procedures on prostate and seminal vesicles
6014,Open biopsy of seminal vesicles
6062,Perineal prostatectomy
6079,Other operations on seminal vesicles
608,Incision or excision of periprostatic tissue
6092,Injection into prostate
6094,Control of (POSTOPERATIVE) hemorrhage of prostate
6111,Biopsy of scrotum or tunica vaginalis
6199,Other operations on scrotum and tunica vaginalis
6352,Reduction of torsion of testis or spermatic cord
2092,Revision of mastoidectomy
211,Incision of nose
2121,Rhinoscopy
2199,Other operations on nose
2200,"Aspiration and lavage of nasal sinus, not otherwise specified"
2231,Radical maxillary antrotomy
23,Removal and restoration of teeth
2309,Extraction of other tooth
2342,Insertion of fixed bridge
2343,Insertion of removable bridge
2419,"Other diagnostic procedures on teeth, gums, and alveoli"
2551,Suture of laceration of tongue
233,Restoration of tooth by inlay
2341,Application of crown
245,Alveoloplasty
2621,Marsupialization of salivary gland cyst
2630,"Sialoadenectomy, not otherwise specified"
271,Incision of palate
2722,Biopsy of uvula and soft palate
3926,Other intra-abdominal vascular shunt or bypass
3932,Suture of vein
3941,Control of hemorrhage following vascular surgery
3956,Repair of blood vessel with tissue patch graft
3959,Other repair of vessel
3986,"Removal of carotid sinus stimulation device, total system"
399,Other operations on vessels
3992,Injection of sclerosing agent into vein
4011,Biopsy of lymphatic structure
4053,Radical excision of iliac lymph nodes
4063,Closure of fistula of thoracic duct
4102,Allogeneic bone marrow transplant with purging
411,Puncture of spleen
4286,Production of subcutaneous tunnel without esophageal anastomosis
430,Gastrotomy
4389,Open and other partial gastrectomy
4414,Closed [ENDOSCOPIC] biopsy of stomach
4432,Percutaneous [ENDOSCOPIC] gastrojejunostomy
4443,Endoscopic control of gastric or duodenal bleeding
4444,Transcatheter embolization for gastric or duodenal bleeding
371,Cardiotomy and pericardiotomy
3736,"Excision, destruction, or exclusion of left atrial appendage (LAA)"
3767,Implantation of cardiomyostimulation system
3831,"Resection of vessel with anastomosis, intracranial vessels"
3838,"Resection of vessel with anastomosis, lower limb arteries"
3865,"Other excision of vessels, thoracic vessels"
5182,Pancreatic sphincterotomy
5192,Closure of cholecystostomy
5259,Other partial pancreatectomy
5301,Other and open repair of direct inguinal hernia
5331,Bilateral repair of femoral hernia with graft or prosthesis
534,Repair of umbilical hernia
536,Repair of other hernia of anterior abdominal wall with graft or prosthesis
54,Other operations on abdominal region
4574,Open and other resection of transverse colon
4582,Open total intra-abdominal colectomy
4592,Anastomosis of small intestine to rectal stump
4601,Exteriorization of small intestine
4622,Continent ileostomy
4623,Other permanent ileostomy
463,Other enterostomy
4663,Fixation of large intestine to abdominal wall
4673,"Suture of laceration of small intestine, except duodenum"
4691,Myotomy of sigmoid colon
471,Incidental appendectomy
4864,Posterior resection of rectum
489,Other operations on rectum and perirectal tissue
495,Division of anal sphincter
4972,Anal cerclage
4999,Other operations on anus
500,Hepatotomy
5061,Closure of laceration of liver
2132,Local excision or destruction of other lesion of nose
2185,Augmentation rhinoplasty
2186,Limited rhinoplasty
25,Operations on tongue
254,Radical glossectomy
3786,"Replacement of any type of pacemaker device with single-chamber device, rate responsive"
3789,Revision or removal of pacemaker device
385,Ligation and stripping of varicose veins
3882,"Other surgical occlusion of vessels, other vessels of head and neck"
3892,Umbilical vein catheterization
391,Intra-abdominal venous shunt
3928,Extracranial-intracranial (EC-IC) vascular bypass
3949,Other revision of vascular procedure
3951,Clipping of aneurysm
3963,Cardioplegia
3975,Endovascular embolization or occlusion of vessel(s) of head or neck using bare coils
3976,Endovascular embolization or occlusion of vessel(s) of head or neck using bioactive coils
3983,Implantation or replacement of carotid sinus stimulation pulse generator only
4019,Other diagnostic procedures on lymphatic structures
4101,Autologous bone marrow transplant without purging
4105,Allogeneic hematopoietic stem cell transpant without purging
381,Endarterectomy
3811,"Endarterectomy, intracranial vessels"
3832,"Resection of vessel with anastomosis, other vessels of head and neck"
3844,"Resection of vessel with replacement, aorta, abdominal"
3846,"Resection of vessel with replacement, abdominal arteries"
3861,"Other excision of vessels, intracranial vessels"
3884,"Other surgical occlusion of vessels, aorta, abdominal"
3921,Caval-pulmonary artery anastomosis
3929,Other (PERIPHERAL) vascular shunt or bypass
3950,Angioplasty of other non-coronary vessel(s)
3982,Implantation or replacement of carotid sinus stimulation lead(s) only
3993,Insertion of vessel-to-vessel cannula
401,Diagnostic procedures on lymphatic structures
4023,Excision of axillary lymph node
4194,Transplantation of spleen
42,Operations on esophagus
4253,Intrathoracic esophageal anastomosis with interposition of small bowel
406,Operations on thoracic duct
4193,Excision of accessory spleen
4259,Other intrathoracic anastomosis of esophagus
4262,Antesternal esophagogastrostomy
4263,Antesternal esophageal anastomosis with interposition of small bowel
43,Incision and excision of stomach
431,Gastrostomy
436,Partial gastrectomy with anastomosis to duodenum
4391,Total gastrectomy with intestinal interposition
4492,Intraoperative manipulation of stomach
4513,Other endoscopy of small intestine
4549,Other destruction of lesion of large intestine
4603,Exteriorization of large intestine
4639,Other enterostomy
4651,Closure of stoma of small intestine
4661,Fixation of small intestine to abdominal wall
479,Other operations on appendix
4832,Other electrocoagulation of rectal lesion or tissue
5912,Laparoscopic lysis of perivesical adhesions
596,Paraurethral suspension
6015,Biopsy of periprostatic tissue
6093,Repair of prostate
6095,Transurethral balloon dilation of the prostatic urethra
62,Operations on testes
621,Diagnostic procedures on testes
6219,Other diagnostic procedures on testes
622,Excision or destruction of testicular lesion
624,Bilateral orchiectomy
6351,Suture of laceration of spermatic cord and epididymis
6353,Transplantation of spermatic cord
636,Vasotomy
6381,Suture of laceration of vas deferens and epididymis
6385,Removal of valve from vas deferens
6389,Other repair of vas deferens and epididymis
6391,Aspiration of spermatocele
649,Other operations on male genital organs
6493,Division of penile adhesions
262,Excision of lesion of salivary gland
2632,Complete sialoadenectomy
264,Repair of salivary gland or duct
27,Other operations on mouth and face
2731,Local excision or destruction of lesion or tissue of bony palate
2755,Full-thickness skin graft to lip and mouth
2792,"Incision of mouth, unspecified structure"
282,Tonsillectomy without adenoidectomy
295,Other repair of pharynx
446,Other repair of stomach
4491,Ligation of gastric varices
4495,Laparoscopic gastric restrictive procedure
451,Diagnostic procedures on small intestine
4523,Colonoscopy
4525,Closed [ENDOSCOPIC] biopsy of large intestine
4529,"Other diagnostic procedures on intestine, site unspecified"
4552,Isolation of segment of large intestine
459,Intestinal anastomosis
4610,"Colostomy, not otherwise specified"
4632,Percutaneous (ENDOSCOPIC) jejunostomy [PEJ]
4697,Transplant of intestine
4873,Closure of other rectal fistula
4882,Excision of perirectal tissue
494,Procedures on hemorrhoids
4975,Implantation or revision of artificial anal sphincter
5019,Other diagnostic procedures on liver
5099,Other operations on liver
5104,Other cholecystotomy
5112,Percutaneous biopsy of gallbladder or bile ducts
285,Excision of lingual tonsil
3169,Other repair of larynx
3174,Revision of tracheostomy
3227,"Bronchoscopic bronchial thermoplasty, ablation of airway smooth muscle"
545,Lysis of peritoneal adhesions
546,Suture of abdominal wall and peritoneum
5462,Delayed closure of granulating abdominal wound
5471,Repair of gastroschisis
5554,Bilateral nephrectomy
5595,Local perfusion of kidney
5597,Implantation or replacement of mechanical kidney
5634,Open biopsy of ureter
5642,Total ureterectomy
5694,Removal of electronic ureteral stimulator
5712,Lysis of intraluminal adhesions with incision into bladder
5739,Other diagnostic procedures on bladder
579,Other operations on bladder
5798,Removal of electronic bladder stimulator
586,Dilation of urethra
5991,Excision of perirenal or perivesical tissue
603,Suprapubic prostatectomy
512,Cholecystectomy
5122,Cholecystectomy
5137,Anastomosis of hepatic duct to gastrointestinal tract
5187,Endoscopic insertion of stent (TUBE) into bile duct
5211,Closed [ASPIRATION] [NEEDLE] [PERCUTANEOUS] biopsy of pancreas
527,Radical pancreaticoduodenectomy
5284,Autotransplantation of cells of islets of langerhans
5299,Other operations on pancreas
261,Diagnostic procedures on salivary glands and ducts
2764,Insertion of palatal implant
281,Diagnostic procedures on tonsils and adenoids
287,Control of hemorrhage after tonsillectomy and adenoidectomy
2899,Other operations on tonsils and adenoids
29,Operations on pharynx
398,"""operations on carotid body, carotid sinus and other vascular bodies"""
3998,"Control of hemorrhage, not otherwise specified"
4041,"Radical neck dissection, unilateral"
4106,Cord blood stem cell transplant
4141,Marsupialization of splenic cyst
415,Total splenectomy
4241,Partial esophagectomy
444,Control of hemorrhage and suture of ulcer of stomach or duodenum
452,Diagnostic procedures on large intestine
4563,Total removal of small intestine
4642,Repair of pericolostomy hernia
4662,Other fixation of small intestine
468,Dilation and manipulation of intestine
47,Operations on appendix
4138,Other diagnostic procedures on bone marrow
419,Other operations on spleen and bone marrow
4209,Other incision of esophagus
4223,Other esophagoscopy
4240,"Esophagectomy, not otherwise specified"
4289,Other repair of esophagus
4349,Other destruction of lesion or tissue of stomach
435,Partial gastrectomy with anastomosis to esophagus
4419,Other diagnostic procedures on stomach
4449,Other control of hemorrhage of stomach or duodenum
4493,Insertion of gastric bubble (BALLOON)
4522,Endoscopy of large intestine through artificial stoma
4530,Endoscopic excision or destruction of lesion of duodenum
4411,Transabdominal gastroscopy
4413,Other gastroscopy
4429,Other pyloroplasty
4463,Closure of other gastric fistula
4494,Removal of gastric bubble (BALLOON)
4498,(LAPAROSCOPIC) adjustment of size of adjustable gastric restrictive device
4527,"Intestinal biopsy, site unspecified"
4543,Endoscopic destruction of other lesion or tissue of large intestine
455,Isolation of intestinal segment
458,Total intra-abdominal colectomy
460,Exteriorization of intestine
4664,Other fixation of large intestine
4672,Closure of fistula of duodenum
483,Local excision or destruction of lesion or tissue of rectum
4875,Abdominal proctopexy
4876,Other proctopexy
4879,Other repair of rectum
6499,Other operations on male genital organs
650,Oophorotomy
6501,Laparoscopic oophorotomy
6523,Laparoscopic marsupialization of ovarian cyst
6561,Other removal of both ovaries and tubes at same operative episode
6573,Other salpingo-oophoroplasty
6370,"Male sterilization procedure, not otherwise specified"
6371,Ligation of vas deferens
6495,Insertion or replacement of non-inflatable penile prosthesis
6498,Other operations on penis
3144,Closed [ENDOSCOPIC] biopsy of trachea
3222,Lung volume reduction surgery
3224,Percutaneous ablation of lung lesion or tissue
329,Other excision of lung
3342,Closure of bronchial fistula
3401,Incision of chest wall
4850,"Abdominoperineal resection of the rectum, not otherwise specified"
487,Repair of rectum
4891,Incision of rectal stricture
4942,Injection of hemorrhoids
4959,Other anal sphincterotomy
4974,Gracilis muscle transplant for anal incontinence
4995,Control of (POSTOPERATIVE) hemorrhage of anus
5025,Laparoscopic ablation of liver lesion or tissue
5103,Other cholecystostomy
5159,Other incision of other bile duct
5171,Simple suture of common bile duct
5213,Endoscopic retrograde pancreatography [ERP]
5280,"Pancreatic transplant, not otherwise specified"
5164,Endoscopic excision or destruction of lesion of biliary ducts or sphincter of oddi
5183,Pancreatic sphincteroplasty
5186,Endoscopic insertion of nasobiliary drainage tube
5282,Homotransplant of pancreas
5311,Other and open bilateral repair of direct inguinal hernia
5317,"Bilateral inguinal hernia repair with graft or prosthesis, not otherwise specified"
5351,Incisional hernia repair
5382,Repair of parasternal hernia
3379,Endoscopic insertion of other bronchial device or substances
3391,Bronchial dilation
3426,Open mediastinal biopsy
3472,Closure of thoracostomy
3509,Endovascular replacement of unspecified heart valve
3521,Open and other replacement of aortic valve with tissue graft
3524,Open and other replacement of mitral valve
3615,Single internal mammary-coronary artery bypass
607,Operations on seminal vesicles
6081,Incision of periprostatic tissue
6097,Other transurethral destruction of prostate tissue by other thermotherapy
6141,Suture of laceration of scrotum and tunica vaginalis
631,Excision of varicocele and hydrocele of spermatic cord
6394,Lysis of adhesions of spermatic cord
6419,Other diagnostic procedures on penis
5321,Unilateral repair of femoral hernia with graft or prosthesis
537,"""repair of diaphragmatic hernia, abdominal approach"""
543,Excision or destruction of lesion or tissue of abdominal wall or umbilicus
