CPTCode,ShortDescription
00534,"Anesth, cardioverter/defib"
00537,"Anesth, cardiac electrophys"
00539,"Anesth, trach-bronch reconst"
0053T,Replace implantable hrt syst
00540,"Anesth, chest surgery"
00541,Anesth one lung ventilation
00542,Anesthesia removal pleura
00546,Anesth lung chest wall surg
00548,Anesth trachea bronchi surg
0054T,Bone srgry cmptr fluor image
00550,"Anesth, sternal debridement"
0055T,Bone srgry cmptr CT/MRI imag
00560,"Anesth, heart surg w/o pump"
00561,Anesth heart surg < 1yr
00563,"Anesth, heart surg w/arrest"
00566,"Anesth, CABG w/o pump"
00567,"Anesth, CABG w/pump"
00580,"Anesth, heart/lung transplnt"
0058T,"Cryopreservation, ovary tiss"
00600,"Anesth, spine, cord surgery"
00604,"Anesth, sitting procedure"
00625,Anes spine tranthor w/o vent
00626,"Anes, spine transthor w/vent"
00630,"Anesth, spine, cord surgery"
00632,"Anesth, removal of nerves"
00635,"Anesth, lumbar puncture"
00640,"Anesth, spine manipulation"
00670,"Anesth, spine, cord surgery"
00700,"Anesth, abdominal wall surg"
00702,"Anesth, for liver biopsy"
0071T,U/s leiomyomata ablate <200
0072T,U/s leiomyomata ablate >200
00730,"Anesth, abdominal wall surg"
00740,"Anesth, upper GI visualize"
00750,"Anesth, repair of hernia"
00752,"Anesth, repair of hernia"
00754,"Anesth, repair of hernia"
00756,"Anesth, repair of hernia"
0075T,Perq stent/chest vert art
0076T,S&i stent/chest vert art
00770,"Anesth, blood vessel repair"
00790,"Anesth, surg upper abdomen"
00792,"Anesth, hemorr/excise liver"
00794,"Anesth, pancreas removal"
00796,"Anesth, for liver transplant"
00797,"Anesth, surgery for obesity"
00800,"Anesth, abdominal wall surg"
00802,"Anesth, fat layer removal"
00810,"Anesth, low intestine scope"
00820,"Anesth, abdominal wall surg"
00830,"Anesth, repair of hernia"
00832,"Anesth, repair of hernia"
00834,"Anesth, hernia repair < 1 yr"
00836,Anesth hernia repair preemie
00840,"Anesth, surg lower abdomen"
00842,"Anesth, amniocentesis"
00844,"Anesth, pelvis surgery"
00846,"Anesth, hysterectomy"
00848,"Anesth, pelvic organ surg"
00851,"Anesth, tubal ligation"
0085T,Breath test heart reject
00860,"Anesth, surgery of abdomen"
00862,"Anesth, kidney/ureter surg"
00864,"Anesth, removal of bladder"
00865,"Anesth, removal of prostate"
00866,"Anesth, removal of adrenal"
00868,"Anesth, kidney transplant"
00870,"Anesth, bladder stone surg"
00872,Anesth kidney stone destruct
00873,Anesth kidney stone destruct
00880,"Anesth, abdomen vessel surg"
00882,"Anesth, major vein ligation"
00902,"Anesth, anorectal surgery"
00904,"Anesth, perineal surgery"
00906,"Anesth, removal of vulva"
00908,"Anesth, removal of prostate"
00910,"Anesth, bladder surgery"
00912,"Anesth, bladder tumor surg"
00914,"Anesth, removal of prostate"
00916,"Anesth, bleeding control"
00918,"Anesth, stone removal"
00920,"Anesth, genitalia surgery"
00921,"Anesth, vasectomy"
00922,"Anesth, sperm duct surgery"
00924,"Anesth, testis exploration"
00926,"Anesth, removal of testis"
00928,"Anesth, removal of testis"
00930,"Anesth, testis suspension"
00932,"Anesth, amputation of penis"
00934,"Anesth, penis, nodes removal"
00936,"Anesth, penis, nodes removal"
00938,"Anesth, insert penis device"
00940,"Anesth, vaginal procedures"
00942,"Anesth, surg on vag/urethral"
00944,"Anesth, vaginal hysterectomy"
00948,"Anesth, repair of cervix"
00950,"Anesth, vaginal endoscopy"
00952,"Anesth, hysteroscope/graph"
0095T,Rmvl artific disc addl crvcl
0098T,Rev artific disc addl
0100T,Prosth retina receive&gen
0101T,Extracorp shockwv tx hi enrg
0102T,"Extracorp shockwv tx, anesth"
0106T,Touch quant sensory test
0107T,Vibrate quant sensory test
0108T,Cool quant sensory test
0109T,Heat quant sensory test
0110T,NOS quant sensory test
01112,"Anesth, bone aspirate/bx"
0111T,RBC membranes fatty acids
01120,"Anesth, pelvis surgery"
01130,"Anesth, body cast procedure"
01140,"Anesth, amputation at pelvis"
01150,"Anesth, pelvic tumor surgery"
01160,"Anesth, pelvis procedure"
01170,"Anesth, pelvis surgery"
01173,"Anesth, fx repair, pelvis"
01180,"Anesth, pelvis nerve removal"
01190,"Anesth, pelvis nerve removal"
01200,"Anesth, hip joint procedure"
01202,"Anesth, arthroscopy of hip"
01210,"Anesth, hip joint surgery"
01212,"Anesth, hip disarticulation"
01214,"Anesth, hip arthroplasty"
01215,"Anesth, revise hip repair"
01220,"Anesth, procedure on femur"
01230,"Anesth, surgery of femur"
01232,"Anesth, amputation of femur"
01234,"Anesth, radical femur surg"
01250,"Anesth, upper leg surgery"
01260,"Anesth, upper leg veins surg"
0126T,CHD risk IMT study
01270,"Anesth, thigh arteries surg"
01272,"Anesth, femoral artery surg"
01274,"Anesth, femoral embolectomy"
01320,"Anesth, knee area surgery"
01340,"Anesth, knee area procedure"
01360,"Anesth, knee area surgery"
01380,"Anesth, knee joint procedure"
01382,"Anesth, dx knee arthroscopy"
01390,"Anesth, knee area procedure"
01392,"Anesth, knee area surgery"
01400,"Anesth, knee joint surgery"
01402,"Anesth, knee arthroplasty"
01404,"Anesth, amputation at knee"
01420,"Anesth, knee joint casting"
01430,"Anesth, knee veins surgery"
01432,"Anesth, knee vessel surg"
01440,"Anesth, knee arteries surg"
01442,"Anesth, knee artery surg"
01444,"Anesth, knee artery repair"
01462,"Anesth, lower leg procedure"
01464,"Anesth, ankle/ft arthroscopy"
01470,"Anesth, lower leg surgery"
01472,"Anesth, Achilles tendon surg"
01474,"Anesth, lower leg surgery"
01480,"Anesth, lower leg bone surg"
01482,"Anesth, radical leg surgery"
01484,"Anesth, lower leg revision"
01486,"Anesth, ankle replacement"
01490,"Anesth, lower leg casting"
01500,"Anesth, leg arteries surg"
01502,"Anesth, lwr leg embolectomy"
01520,"Anesth, lower leg vein surg"
01522,"Anesth, lower leg vein surg"
0159T,CAD breast MRI
01610,"Anesth, surgery of shoulder"
01620,"Anesth, shoulder procedure"
01622,Anes dx shoulder arthroscopy
01630,"Anesth, surgery of shoulder"
01634,"Anesth, shoulder joint amput"
01636,"Anesth, forequarter amput"
01638,"Anesth, shoulder replacement"
0163T,Lumb artif diskectomy addl
01650,"Anesth, shoulder artery surg"
01652,"Anesth, shoulder vessel surg"
01654,"Anesth, shoulder vessel surg"
01656,"Anesth, arm-leg vessel surg"
0165T,Revise lumb artif disc addl
01670,"Anesth, shoulder vein surg"
01680,"Anesth, shoulder casting"
01682,"Anesth, airplane cast"
01710,"Anesth, elbow area surgery"
01712,"Anesth, uppr arm tendon surg"
01714,"Anesth, uppr arm tendon surg"
01716,"Anesth, biceps tendon repair"
0172T,Lumbar spine process addl
01730,"Anesth, uppr arm procedure"
01732,"Anesth, dx elbow arthroscopy"
01740,"Anesth, upper arm surgery"
01742,"Anesth, humerus surgery"
01744,"Anesth, humerus repair"
0174T,CAD cxr with interp
01756,"Anesth, radical humerus surg"
01758,"Anesth, humeral lesion surg"
0175T,CAD cxr remote
01760,"Anesth, elbow replacement"
01770,"Anesth, uppr arm artery surg"
01772,"Anesth, uppr arm embolectomy"
01782,"Anesth, uppr arm vein repair"
0178T,64 lead ECG w/I&R
0179T,64 lead ECG w/tracing
0180T,64 lead ECG w/I&R only
01810,"Anesth, lower arm surgery"
01820,"Anesth, lower arm procedure"
01829,"Anesth, dx wrist arthroscopy"
01830,"Anesth, lower arm surgery"
01832,"Anesth, wrist replacement"
01840,"Anesth, lwr arm artery surg"
01842,"Anesth, lwr arm embolectomy"
01844,"Anesth, vascular shunt surg"
0184T,Exc rectal tumor endoscopic
01850,"Anesth, lower arm vein surg"
01852,"Anesth, lwr arm vein repair"
01860,"Anesth, lower arm casting"
0188T,Videoconf crit care 74 min
0189T,Videoconf crit care addl 30
0190T,Place intraoc radiation src
01916,"Anesth, dx arteriography"
0191T,Insert ant segment drain int
01920,"Anesth, catheterize heart"
01922,"Anesth, CAT or MRI scan"
01926,"Anes, tx interv rad hrt/cran"
01930,"Anes, ther interven rad vein"
01931,"Anes, ther interven rad TIPS"
01932,"Anes, tx interv rad, th vein"
01933,Anes tx interv rad cran vein
01935,"Anesth, perc img dx sp proc"
01936,"Anesth, perc img tx sp proc"
01951,"Anesth, burn, less 4 percent"
01952,"Anesth, burn, 4-9 percent"
01953,"Anesth, burn, each 9 percent"
01958,"Anesth, antepartum manipul"
0195T,Prescrl fuse w/o instr L5/S1
01960,"Anesth, vaginal delivery"
01961,"Anesth, cs delivery"
01962,"Anesth, emer hysterectomy"
01963,"Anesth, cs hysterectomy"
01965,"Anesth, inc/missed ab proc"
01966,"Anesth, induced ab procedure"
01967,"Anesth/analg, vag delivery"
01968,Anes/analg cs deliver add-on
01969,Anesth/analg cs hyst add-on
0196T,Prescrl fuse w/o instr L4/L5
0198T,Ocular blood flow measure
01990,Support for organ donor
01991,"Anesth, nerve block/inj"
01992,"Anesth, n block/inj, prone"
01996,Hosp manage cont drug admin
01999,Unlisted anesth procedure
0200T,Perq sacral augmt unilat inj
0201T,Perq sacral augmt bilat inj
0202T,Post vert arthrplst 1 lumbar
0205T,Inirs each vessel add-on
0206T,Cptr dbs alys car elec data
0207T,Clear eyelid gland w/heat
0208T,Audiometry air only
0209T,Audiometry air & bone
0210T,Speech audiometry threshold
0211T,Speech audiom thresh & recog
0212T,Compre audiometry evaluation
0213T,Njx paravert w/us cer/thor
0214T,Njx paravert w/us cer/thor
0215T,Njx paravert w/us cer/thor
0216T,Njx paravert w/us lumb/sac
0217T,Njx paravert w/us lumb/sac
0218T,Njx paravert w/us lumb/sac
0224T,Acoustic ECG 1+ analysis
0225T,Acoustic ECG analy & reprog
0228T,Njx tfrml eprl w/us cer/thor
0229T,Njx tfrml eprl w/us cer/thor
0230T,Njx tfrml eprl w/us lumb/sac
0231T,Njx tfrml eprl w/us lumb/sac
0232T,Njx platelet plasma
0234T,Trluml perip athrc renal art
0235T,Trluml perip athrc visceral
0236T,Trluml perip athrc abd aorta
0237T,Trluml perip athrc brchiocph
0238T,Trluml perip athrc iliac art
0241T,Esoph motility w/stim/perf
0249T,Ligation hemorrhoid w/us
0253T,Insert aqueous drain device
0255T,Evasc rpr iliac art bifr s&i
0263T,Im bn mrw cel ther cmpl
0264T,Im bn mrw cel ther xcl hrvst
0265T,Im bn mrw cel ther hrvst onl
0266T,Implt/rpl crtd sns dev total
0267T,Implt/rpl crtd sns dev lead
0268T,Implt/rpl crtd sns dev gen
0269T,Rev/remvl crtd sns dev total
0270T,Rev/remvl crtd sns dev lead
0271T,Rev/remvl crtd sns dev gen
0272T,Interrogate crtd sns dev
0273T,Interrogate crtd sns w/pgrmg
0274T,Perq lamot/lam crv/thrc
0275T,Perq lamot/lam lumbar
0278T,TEMPR
0281T,LAA closure w/implant
0282T,"Periph field stimul, trial"
0283T,"Periph field stimul, perm"
0290T,"Laser inc for pkp/lkp, recip"
0291T,Iv oct for proc init vessel
0292T,Iv oct for proc addl vessel
0293T,Ins lt atrl press monitor
0294T,Ins lt atrl mont pres lead
0295T,Ext ECG complete
0296T,Ext ECG recording
0297T,Ext ECG scan w/report
0298T,Ext ECG review and interp
0299T,ESW wound healing init wound
0300T,ESW wound healing addl wound
0301T,MW therapy for breast tumor
0302T,Icar ischm mntrng sys compl
0303T,Icar ischm mntrng sys eltrd
0304T,Icar ischm mntrng sys device
0305T,Icar ischm mntrng prgrm eval
0307T,Rmvl icar ischm mntrng dvce
0309T,Prescrl fuse w/ instr L4/L5
0310T,Motor function mapping nTMS
0312T,Laps impltj nstim arry vagus
0313T,Laps rmvl nstim array vagus
0314T,Laps rmvl vgl arry & pls gen
0315T,Rmvl vagus nerve pls gen
0316T,Replc vagus nerve pls gen
0317T,Elec anlys vagus nrv pls gen
0329T,Mntr io press 24hrs/> uni/bi
0330T,Tear film img uni/bi w/i&r
0331T,Heart symp image plnr
0332T,Heart symp image plnr spect
0335T,Extraosseous joint stablj
0337T,Endothel fxnassmnt non-invas
0338T,Trnscth renal symp denrv unl
0339T,Transcath renal symp denerv
0340T,Ablate pulm tumors + extnsn
0341T,Quant pupillometry w/ report
0342T,Thxp apheresis w/ HDL delip
0345T,Transcath mtral valve repair
0347T,Ins bone device for RSA
0351T,Intraop OCT brst/node spec
0352T,OCT brst/node I&R per spec
0353T,Intraop OCT breast cavity
0354T,OCT breast surg cavity I&R
0355T,GI tract capsule endoscopy
0356T,Insrt drug device for IOP
0357T,Crypreserv immature oocytes
0359T,Behavioral ID assessment
0360T,Observ behav assessment
0361T,Observ behav assess addl
0362T,Expose behav assessment
0363T,Expose behav assess addl
0364T,Adaptive behavior treatment
0365T,Adaptive behavior tx addl
0366T,Group behavior treatment
0367T,Group behav treatment addl
0368T,Behavior treatment modified
0369T,Behav treatment modify addl
0370T,Fam behav treatment guidance
0371T,Mult fam behav treat guide
0372T,Social skills training group
0373T,Exposure behavior treatment
0374T,Expose behav treatment addl
0376T,Insert ant segmnt drain addl
0377T,Anoscopy inj agent for incon
0378T,Visual field assmnt rev/rprt
0379T,Vis field assmnt tech supprt
0380T,Comp animat ret imag series
0381T,Ext h rate epi sz 14 days
0382T,Ext h rate sz 14 day r&i onl
0383T,Ext h rate sz up to 30 days
0384T,Ex h rate sz 30 day r&i only
0385T,Ex h rate for sz ovr 30 day
0386T,Ex h rate sz 30+ day r&i onl
0389T,Prog eval inper leadls pm
0390T,Periproc eval inper ledls pm
0391T,Intergt eval inper leadls pm
0500F,Initial prenatal care visit
0501F,Prenatal flow sheet
0502F,Subsequent prenatal care
0503F,Postpartum care visit
0505F,Hemodialysis plan docd
0507F,Periton dialysis plan docd
0509F,Urine incon plan docd
0513F,Elev BP plan of care docd
0514F,Care plan Hgb docd ESA pt
0516F,Anemia plan of care docd
0517F,Glaucoma plan of care docd
0518F,Fall plan of care docd
0519F,Pland chemo docd b/4 txmnt
0520F,Rad dos limts b/4 3D rad
0521F,Plan of care 4 pain docd
0525F,Initial visit for episode
0526F,Subs visit for episode
0528F,Rcmnd flw-up 10 yrs docd
0529F,Intrvl 3+yrs pts clnscp docd
0535F,Dyspnea mngmnt plan docd
0540F,Gluco mngmnt plan docd
0545F,Follow up care plan MDD docd
0550F,Cytopath report nongyn spcmn
0551F,Cytopath report non routine
0555F,Symptom mgmnt plan care docd
0556F,Plan care lipid control docd
0557F,Plan caremng angnl symptdocd
0575F,HIV RNA plan care docd
0580F,Multidisciplinary care plan
0581F,Pt trnsfrd from anesth to cc
0582F,No trnsfr from anesth to cc
0583F,Transfer care checklist used
0584F,No transfercare chklist used
1000F,Tobacco use assessed
10021,FNA w/o image
10022,FNA w/image
10030,Guide cathet fluid drainage
10040,Acne surgery
10060,Drainage of skin abscess
10061,Drainage of skin abscess
1006F,Osteoarthritis assess
1007F,Anti-inflm/anlgsc OTC assess
10080,Drainage of pilonidal cyst
10081,Drainage of pilonidal cyst
1008F,GI/renal risk assess
1010F,Severity angina by actvty
1011F,Angina present
10120,Remove foreign body
10121,Remove foreign body
1012F,Angina absent
10140,Drainage of hematoma/fluid
1015F,COPD symptoms assess
10160,Puncture drainage of lesion
10180,"Complex drainage, wound"
1018F,Assess dyspnea not present
1019F,Assess dyspnea present
1022F,Pneumo imm status assess
1026F,Co-morbid condition assess
1030F,Influenza imm status assess
1031F,Smoking & 2nd hand assessed
1034F,Current tobacco smoker
1035F,Smokeless tobacco user
1036F,Tobacco non-user
1038F,Persistent asthma
1039F,Intermittent asthma
1040F,DSM-5 info MDD docd
1050F,History of mole changes
1052F,Type location activityassess
1055F,Visual funct status assess
1065F,Ischm stroke symp lt3 hrsb/4
1066F,Ischm stroke symp ge3 hrsb/4
1070F,Alarm symp assessed-absent
1071F,Alarm symp assessed-1+ prsnt
1090F,Pres/absn urine incon assess
1091F,Urine incon characterized
11000,Debride infected skin
11001,Debride infected skin add-on
11004,Debride genitalia & perineum
11005,Debride abdom wall
11006,Debride genit/per/abdom wall
11008,Remove mesh from abd wall
1100F,Ptfalls assess-docd ge2+/yr
11010,Debride skin at fx site
11011,Debride skin musc at fx site
11012,Deb skin bone at fx site
1101F,Pt falls assess-docd le1/yr
11042,Deb subq tissue 20 sq cm/<
11043,Deb musc/fascia 20 sq cm/<
11044,Deb bone 20 sq cm/<
11045,Deb subq tissue add-on
11046,Deb musc/fascia add-on
11047,Deb bone add-on
11055,Trim skin lesion
11056,"Trim skin lesions, 2 to 4"
11057,"Trim skin lesions, over 4"
11100,"Biopsy, skin lesion"
11101,"Biopsy, skin add-on"
1110F,Pt lft inpt fac w/in 60 days
1111F,Dschrg med/current med merge
1116F,Auric/peri pain assessed
1118F,GERD symps assessed 12 month
11200,Removal of skin tags <= 15
11201,Remove skin tags add-on
1123F,ACP discuss/dscn mkr docd
1124F,ACP discuss-no dscnmkr docd
1125F,Amnt pain noted pain prsnt
1126F,Amnt pain noted none prsnt
11300,Shave skin lesion <= 0.5 cm
11301,Shave skin lesion 0.6-1.0 cm
11302,Shave skin lesion 1.1-2.0 cm
11303,Shave skin lesion >2.0 cm
11305,Shave skin lesion <= 0.5 cm
11306,Shave skin lesion 0.6-1.0 cm
11307,Shave skin lesion 1.1-2.0 cm
11308,Shave skin lesion > 2.0 cm
11310,Shave skin lesion <= 0.5 cm
11311,Shave skin lesion 0.6-1.0 cm
11312,Shave skin lesion 1.1-2.0 cm
11313,Shave skin lesion > 2.0 cm
1134F,Epsd bk pain for <= 6 wks
1135F,Epsd bk pain for > 6 wks
1136F,Epsd bk pain for <= 12 wks
1137F,Epsd bk pain for > 12 wks
11400,Exc tr-ext b9+marg <= 0.5 cm
11401,Exc tr-ext b9+marg 0.6-1 cm
11402,Exc tr-ext b9+marg 1.1-2 cm
11403,Exc tr-ext b9+marg 2.1-3 cm
11404,Exc tr-ext b9+marg 3.1-4 cm
11406,Exc tr-ext b9+marg > 4.0 cm
11420,Exc h-f-nk-sp b9+marg <= 0.5
11421,Exc h-f-nk-sp b9+marg 0.6-1
11422,Exc h-f-nk-sp b9+marg 1.1-2
11423,Exc h-f-nk-sp b9+marg 2.1-3
11424,Exc h-f-nk-sp b9+marg 3.1-4
11426,Exc h-f-nk-sp b9+marg > 4 cm
11440,Exc face-mm b9+marg <= 0.5cm
11441,Exc face-mm b9+marg 0.6-1 cm
11442,Exc face-mm b9+marg 1.1-2 cm
11443,Exc face-mm b9+marg 2.1-3 cm
11444,Exc face-mm b9+marg 3.1-4 cm
11446,Exc face-mm b9+marg > 4 cm
11450,"Removal, sweat gland lesion"
11451,"Removal, sweat gland lesion"
11462,"Removal, sweat gland lesion"
11463,"Removal, sweat gland lesion"
11470,"Removal, sweat gland lesion"
11471,"Removal, sweat gland lesion"
1150F,Doc pt rsk death w/in 1yr
1151F,Doc no pt rsk death w/in 1yr
1152F,Doc advncd dis comfort 1st
1153F,Doc advncd dis cmfrt not 1st
1157F,Advnc care plan in rcrd
1158F,Advnc care plan tlk docd
1159F,Med list docd in med rcrd
11600,Exc tr-ext mal+marg <= 0.5cm
11601,Exc tr-ext mal+marg 0.6-1 cm
11602,Exc tr-ext mal+marg 1.1-2 cm
11604,Exc tr-ext mal+marg 3.1-4 cm
11606,Exc tr-ext mal+marg > 4 cm
1160F,Rvw meds by rx/dr in recrd
11620,Exc h-f-nk-sp mal+marg 0.5 <
11621,Exc s/n/h/f/g mal+mrg 0.6-1
11622,Exc s/n/h/f/g mal+mrg 1.1-2
11624,Exc s/n/h/f/g mal+mrg 3.1-4
11626,Exc s/n/h/f/g mal+mrg > 4 cm
11640,Exc f/e/e/n/l mal+mrg 0.5cm<
11641,Exc f/e/e/n/l mal+mrg 0.6-1
11642,Exc f/e/e/n/l mal+mrg 1.1-2
11643,Exc f/e/e/n/l mal+mrg 2.1-3
11644,Exc f/e/e/n/l mal+mrg 3.1-4
11646,Exc f/e/e/n/l mal+mrg > 4 cm
1170F,Fxnl status assessed
11719,Trim nail(s) any number
11720,"Debride nail, 1-5"
11721,"Debride nail, 6 or more"
11730,Removal of nail plate
11732,"Remove nail plate, add-on"
11740,Drain blood from under nail
11755,"Biopsy, nail unit"
1175F,Function stat assessed rvwd
11760,Repair of nail bed
11762,Reconstruction of nail bed
11765,"Excision of nail fold, toe"
11770,Remove pilonidal cyst simple
11771,Remove pilonidal cyst extens
11772,Remove pilonidal cyst compl
1180F,Thromboemb risk assessed
1181F,Neuropsychia sympts assessed
1182F,Neuropsychi sympt 1+present
1183F,Neuropsychiatric symp absent
11900,Inject skin lesions <= 7
11901,Inject skin lesions > 7
11920,Correct skin color <= 6.0 cm
11921,Correct skin color 6.1-20 cm
11922,Correct skin color ea 20 cm
11950,Tx contour defects <= 1 cc
11951,Tx contour defects 1.1-5 cc
11952,Tx contour defects 5.1-10 cc
11954,Tx contour defects > 10.0 cc
11960,Insert tissue expander(s)
11970,Replace tissue expander
11971,Remove tissue expander(s)
11976,Remove contraceptive capsule
11980,Implant hormone pellet(s)
11981,Insert drug implant device
11982,Remove drug implant device
11983,Remove/insert drug implant
12001,Rpr s/n/ax/gen/trnk <= 2.5cm
12002,Rpr s/n/ax/gen/trnk 2.6-7.5c
12004,Rpr s/n/ax/gen/trk 7.6-12.5c
12005,Rpr s/n/a/gen/trk 12.6-20 cm
12006,Rpr s/n/a/gen/trk 20.1-30 cm
12007,Rpr s/n/ax/gen/trnk > 30 cm
1200F,Seizure type& frequ docd
12011,Rpr f/e/e/n/l/m <= 2.5 cm
12013,Rpr f/e/e/n/l/m 2.6-5.0 cm
12014,Rpr f/e/e/n/l/m 5.1-7.5 cm
12015,Rpr f/e/e/n/l/m 7.6-12.5 cm
12016,Rpr fe/e/en/l/m 12.6-20.0 cm
12017,Rpr fe/e/en/l/m 20.1-30.0 cm
12018,Rpr f/e/e/n/l/m > 30.0 cm
12020,Closure of split wound
12021,Closure of split wound
12031,Intmd rpr s/a/t/ext <= 2.5cm
12032,Intmd rpr s/a/t/ext 2.6-7.5
12034,Intmd rpr s/tr/ext 7.6-12.5
12035,Intmd rpr s/a/t/ext 12.6-20
12036,Intmd rpr s/a/t/ext 20.1-30
12037,Intmd rpr s/tr/ext > 30.0 cm
12041,Intmd rpr n-hf/genit <=2.5cm
12042,Intmd rpr n-hf/genit 2.6-7.5
12044,Intmd rpr n-hf/gen 7.6-12.5
12045,Intmd rpr n-hf/genit 12.6-20
12046,Intmd rpr n-hf/genit 20.1-30
12047,Intmd rpr n-hf/genit > 30 cm
12051,Intmd rpr face/mm <= 2.5 cm
12052,Intmd rpr face/mm 2.6-5.0 cm
12053,Intmd rpr face/mm 5.1-7.5 cm
12054,Intmd rpr face/mm 7.6-12.5cm
12055,Intmd rpr face/mm 12.6-20 cm
12056,Intmd rpr face/mm 20.1-30.0
12057,Intmd rpr face/mm > 30.0 cm
1205F,Epi etiol synd rvwd and docd
1220F,Pt screened for depression
13100,Cmplx rpr trunk 1.1-2.5 cm
13101,Complx rpr trunk 2.6-7.5 cm
13102,Cmplx rpr trnk ea addl < 5cm
13120,Cmplx rpr s/a/l 1.1-2.5 cm
13121,Cmplx rpr s/a/l 2.6-7.5 cm
13122,Cmplx rpr s/a/l ea addl <5cm
13131,Cmplx rpr f/c/c/m/n/ax/g/h/f
13132,Cmplx rpr f/c/c/m/n/ax/g/h/f
13133,Cmplx rpr f/c/c/m/n/ax/g/h/f
13151,Cmplx rpr e/n/e/l 1.1-2.5 cm
13152,Cmplx rpr e/n/e/l 2.6-7.5 cm
13153,Cmplx rpr e/n/e/l addl < 5cm
13160,Late closure of wound
14000,Tis trnfr trunk <= 10 sq cm
14001,Tis trnfr trnk 10.1-30 sq cm
1400F,Prkns diag rviewed
14020,Tis trnfr s/a/l <= 10 sq cm
14021,Tis trnfr s/a/l 10.1-30 sqcm
14040,Tis trnfr f/c/c/m/n/a/g/h/f
14041,Tis trnfr f/c/c/m/n/a/g/h/f
14060,Tis trnfr e/n/e/l <=10 sq cm
14061,Tis trnfr e/n/e/l 10.1-30 cm
14301,Tis trnfr any 30.1-60 sq cm
14302,Tis trnfr addl 30 sq cm
14350,Filleted finger/toe flap
1450F,Symptoms improved/consist
1451F,Sympt show clin import drop
1460F,Qual card diag prior 12 mons
1461F,No qual card diag prior12mon
1490F,Dem severity classified mild
1491F,Dem severity classified mod
1493F,Dem severity class severe
1494F,Cognit assessed and reviewed
15002,Wound prep trk/arm/leg
15003,Wound prep addl 100 cm
15004,Wound prep f/n/hf/g
15005,"Wnd prep, f/n/hf/g, addl cm"
1500F,Symptom+sign symm polyneuro
1501F,Not initial eval for cond
1502F,Pt queried pain fxn w/ instr
1503F,Pt queried symp resp insuff
15040,Harvest cultured skin graft
1504F,Pt has resp insufficiency
15050,Skin pinch graft
1505F,Pt has no resp insufficiency
15100,"Skin splt grft, trnk/arm/leg"
15101,"Skin splt grft t/a/l, add-on"
15110,Epidrm autogrft trnk/arm/leg
15111,Epidrm autogrft t/a/l add-on
15115,Epidrm a-grft face/nck/hf/g
15116,Epidrm a-grft f/n/hf/g addl
15120,Skn splt a-grft fac/nck/hf/g
15121,Skn splt a-grft f/n/hf/g add
15130,"Derm autograft, trnk/arm/leg"
15131,Derm autograft t/a/l add-on
15135,Derm autograft face/nck/hf/g
15136,"Derm autograft, f/n/hf/g add"
15150,Cult skin grft t/arm/leg
15151,Cult skin grft t/a/l addl
15152,Cult skin graft t/a/l +%
15155,Cult skin graft f/n/hf/g
15156,Cult skin grft f/n/hfg add
15157,Cult skin grft f/n/hfg +%
15200,"Skin full graft, trunk"
15201,Skin full graft trunk add-on
15220,Skin full graft sclp/arm/leg
15221,Skin full graft add-on
15240,Skin full grft face/genit/hf
15241,Skin full graft add-on
15260,Skin full graft een & lips
15261,Skin full graft add-on
15271,Skin sub graft trnk/arm/leg
15272,Skin sub graft t/a/l add-on
15273,Skin sub grft t/arm/lg child
15274,Skn sub grft t/a/l child add
15275,Skin sub graft face/nk/hf/g
15276,Skin sub graft f/n/hf/g addl
15277,Skn sub grft f/n/hf/g child
15278,Skn sub grft f/n/hf/g ch add
15570,Skin pedicle flap trunk
15572,Skin pedicle flap arms/legs
15574,Pedcle fh/ch/ch/m/n/ax/g/h/f
15576,Pedcle eyl/ns/ear/lp/ntroral
15600,Delay flap trunk
15610,Delay flap arms/legs
15620,Delay flap eye/nos/ear/lip
15630,Delay flap eye/nos/ear/lip
15650,Transfer skin pedicle flap
15731,Forehead flap w/vasc pedicle
15732,"Muscle-skin graft, head/neck"
15734,"Muscle-skin graft, trunk"
15736,"Muscle-skin graft, arm"
15738,"Muscle-skin graft, leg"
15740,Island pedicle flap graft
15750,Neurovascular pedicle flap
15756,Free myo/skin flap microvasc
15757,"Free skin flap, microvasc"
15758,"Free fascial flap, microvasc"
15760,Composite skin graft
15770,Derma-fat-fascia graft
15775,Hair trnspl 1-15 punch graft
15776,Hair trnspl > 15 punch graft
15777,Acellular derm matrix implt
15780,Dermabrasion total face
15781,Dermabrasion segmental face
15782,Dermabrasion other than face
15783,Dermabrasion suprfl any site
15786,"Abrasion, lesion, single"
15787,"Abrasion, lesions, add-on"
15788,"Chemical peel, face, epiderm"
15789,"Chemical peel, face, dermal"
15792,"Chemical peel, nonfacial"
15793,"Chemical peel, nonfacial"
15819,"Plastic surgery, neck"
15820,Revision of lower eyelid
15821,Revision of lower eyelid
15822,Revision of upper eyelid
15823,Revision of upper eyelid
15824,Removal of forehead wrinkles
15825,Removal of neck wrinkles
15826,Removal of brow wrinkles
15828,Removal of face wrinkles
15829,Removal of skin wrinkles
15830,Exc skin abd
15832,Excise excessive skin thigh
15833,Excise excessive skin leg
15834,Excise excessive skin hip
15835,Excise excessive skin buttck
15836,Excise excessive skin arm
15837,Excise excess skin arm/hand
15838,Excise excess skin fat pad
15839,Excise excess skin & tissue
15840,Nerve palsy fascial graft
15841,Nerve palsy muscle graft
