HCPCSCode,ShortDescription
L0210,"Thoracic, rib belt"
L0960,"Torso support,  post surgical support, pads for post surgical support"
L1500,"Thoracic-hip-knee-ankle orthosis (THKAO), mobility frame (newington, parapodium types)"
L1510,"Thkao, standing frame, with or without tray and accessories"
L1520,"Thkao, swivel walker"
L1800,"Knee orthosis, elastic with stays, prefabricated, includes fitting and adjustment"
L1815,"Knee orthosis, elastic or other elastic type material with condylar pad(s), prefabricated, includes fitting and adjustment"
L1825,"Knee orthosis, elastic knee cap, prefabricated, includes fitting and adjustment"
L1855,"Knee orthosis, molded plastic, thigh and calf sections, with double upright knee joints, custom-fabricated"
L1858,"Knee orthosis, molded plastic, polycentric knee joints, pneumatic knee pads (CTI), custom-fabricated"
L1870,"Knee orthosis, double upright, thigh and calf lacers with knee joints, custom-fabricated"
L1880,"Knee orthosis, double upright, non-molded thigh and calf cuffs/lacers with knee joints, custom-fabricated"
L1901,"Ankle orthosis, elastic, prefabricated, includes fitting and adjustment (e. g. neoprene, lycra)"
L2770,"Addition to lower extremity orthosis, any material - per bar or joint"
L2860,"Addition to lower extremity joint, knee or ankle, concentric adjustable torsion style mechanism, each"
L3651,"Shoulder orthosis, single shoulder, elastic, prefabricated, includes fitting and adjustment (e. g. neoprene, lycra)"
L3652,"Shoulder orthosis, double shoulder, elastic, prefabricated, includes fitting and adjustment (e. g. neoprene, lycra)"
L3672,"Shoulder orthosis, abduction positioning (airplane design), thoracic component and support bar, without joints, may inlcude soft interface, straps, custom fabricated, includes fitting and adjustment"
L3673,"Shoulder orthosis, abduction positioning (airplane design), thoracic component and support bar, includes nontorsion joint/turnbuckle, may include soft interface, straps, custom fabricated, includes fitting and adjustment"
L3700,"Elbow orthosis, elastic with stays, prefabricated, includes fitting and adjustment"
L3701,"Elbow orthosis, elastic, prefabricated, includes fitting and adjustment (e. g. neoprene, lycra)"
L3800,"Wrist hand finger orthosis, short opponens, no attachments, custom-fabricated"
L3805,"Wrist hand finger orthosis, long opponens, no attachment, custom-fabricated"
L3810,"Whfo, addition  to short and long opponens, thumb abduction ('C') bar"
L3815,"Whfo, addition  to short and long opponens, second m.p. abduction assist"
L3820,"Whfo, addition to short and long opponens, i.p. extension assist, with m.p. extension stop"
L3825,"Whfo, addition  to short and long opponens, m.p. extension stop"
L3830,"Whfo, addition  to short and long opponens, m.p. extension assist"
L3835,"Whfo, addition  to short and long opponens, m.p. spring extension assist"
L3840,"Whfo, addition  to short and long opponens, spring swivel thumb"
L3845,"Whfo, addition  to short and long opponens, thumb i.p. extension assist, with m.p. stop"
L3850,"Who, addition to short and long opponens, action wrist, with dorsiflexion assist"
L3855,"Whfo, addition  to short and long opponens, adjustable m.p. flexion control"
L3860,"Whfo, addition  to short and long opponens, adjustable m.p. flexion control and i.p."
L3890,"Addition to upper extremity joint, wrist or elbow, concentric adjustable torsion style mechanism, each"
L3907,"Wrist hand finger orthosis, wrist gauntlet with thumb spica, custom-fabricated"
L3909,"Wrist orthosis, elastic, prefabricated, includes fitting and adjustment (e. g. neoprene, lycra)"
L3910,"Wrist hand finger orthosis, swanson design, prefabricated, includes fitting and adjustment"
L3911,"Wrist hand finger orthosis, elastic, prefabricated, includes fitting and adjustment (e. g. neoprene, lycra)"
L3920,"Hand finger orthosis, knuckle bender with outrigger, prefabricated, includes fitting and adjustment"
L3922,"Hand finger orthosis, knuckle bender, two segment to flex joints, prefabricated, includes fitting and adjustment"
L3926,"Wrist hand finger orthosis, thomas suspension, prefabricated, includes fitting and adjustment"
L3928,"Hand finger orthosis, finger extension, with clock spring, prefabricated, includes fitting and adjustment"
L3932,"Finger orthosis, safety pin, spring wire, prefabricated, includes fitting and adjustment"
L3934,"Finger orthosis, safety pin, modified, prefabricated, includes fitting and adjustment"
L3936,"Wrist hand finger orthosis, palmer, prefabricated, includes fitting and adjustment"
L3938,"Wrist hand finger orthosis, dorsal wrist, prefabricated, includes fitting and adjustment"
L3940,"Wrist hand finger orthosis, dorsal wrist, with outrigger attachment, prefabricated, includes fitting and adjustment"
L3942,"Hand finger orthosis, reverse knuckle bender, prefabricated, includes fitting and adjustment"
L3944,"Hand finger orthosis, reverse knuckle bender, with outrigger, prefabricated, includes fitting and adjustment"
L3946,"Hand finger orthosis, composite elastic, prefabricated, includes fitting and adjustment"
L3948,"Finger orthosis, finger knuckle bender, prefabricated, includes fitting and adjustment"
L3950,"Wrist hand finger orthosis, combination oppenheimer, with knuckle bender and two attachments, prefabricated, includes fitting and adjustment"
L3952,"Wrist hand finger orthosis, combination oppenheimer, with reverse knuckle and two attachments, prefabricated, includes fitting and adjustment"
L3954,"Hand finger orthosis, spreading hand, prefabricated, includes fitting and adjustment"
L3964,"Shoulder elbow orthosis, mobile arm support attached to wheelchair, balanced, adjustable, prefabricated, includes fitting and adjustment"
L3965,"Shoulder elbow orthosis, mobile arm support attached to wheelchair, balanced, adjustable rancho type, prefabricated, includes fitting and adjustment"
L3966,"Shoulder elbow orthosis, mobile arm support attached to wheelchair, balanced, reclining, prefabricated, includes fitting and adjustment"
L3968,"Shoulder elbow orthosis, mobile arm support attached to wheelchair, balanced, friction arm support (friction dampening to proximal and distal joints), prefabricated, includes fitting and adjustment"
L3969,"Shoulder elbow orthosis, mobile arm support, monosuspension arm and hand support, overhead elbow forearm hand sling support, yoke type suspension support, prefabricated, includes fitting and adjustment"
L3970,"Seo, addition to mobile arm support, elevating proximal arm"
L3972,"Seo, addition to mobile arm support, offset or lateral rocker arm with elastic balance control"
L3974,"Seo, addition to mobile arm support, supinator"
L3985,"Upper extremity fracture orthosis, forearm, hand with wrist hinge, custom-fabricated"
L3986,"Upper extremity fracture orthosis, combination of humeral, radius/ulnar, wrist, (example--colles' fracture), custom fabricated"
L4380,"Pneumatic knee splint, prefabricated, includes fitting and adjustment"
L5311,"Knee disarticulation (or through knee), molded socket, external knee joints, shin, sach foot, endoskeletal system"
L5993,"Addition to lower extremity prosthesis, heavy duty feature, foot only, (for patient weight greater than 300 lbs)"
L5994,"Addition to lower extremity prosthesis, heavy duty feature, knee only, (for patient weight greater than 300 lbs)"
L5995,"Addition to lower extremity prosthesis, heavy duty feature, other than foot or knee, (for patient weight greater than 300 lbs)"
L6639,"Upper extremity addition, heavy duty feature, any elbow"
L7266,"Servo control, steeper or equal"
L7272,"Analogue control, unb or equal"
L7274,"Proportional control, 6-12 volt, liberty, utah or equal"
L7500,"Repair of prosthetic device, hourly rate (excludes v5335 repair of oral or laryngeal prosthesis or artificial larynx)"
L7611,"Terminal device, hook, mechanical, voluntary opening, any material, any size, lined or unlined, pediatric"
L7612,"Terminal device, hook, mechanical, voluntary closing, any material, any size, lined or unlined, pediatric"
L7613,"Terminal device, hand, mechanical, voluntary opening, any material, any size, pediatric"
L7614,"Terminal device, hand, mechanical, voluntary closing, any material, any size, pediatric"
L7621,"Terminal device, hook or hand, heavy duty, mechanical, voluntary opening, any material, any size, lined or unlined"
L7622,"Terminal device, hook or hand, heavy duty, mechanical, voluntary closing, any material, any size, lined or unlined"
Q0179,"Ondansetron hydrochloride 8  mg, oral, fda approved prescription anti-emetic, for use as a complete therapeutic substitute for an IV anti-emetic at the time of chemotherapy treatment, not to exceed a 48 hour dosage regimen"
Q0505,Miscellaneous supply or accessory for use with ventricular assist device
Q1003,New technology intraocular lens category 3 (reduced spherical aberration)
Q2023,"Injection, factor VIII (antihemophilic factor, recombinant) (XYNTHA), per i. u."
Q2024,"Injection, bevacizumab, 0. 25 mg"
Q2025,"Fludarabine phosphate, oral, 1 mg"
Q2040,"Injection, incobotulinumtoxin a, 1 unit"
Q2041,"Injection, von willebrand factor complex (HUMAN), wilate, 1 i.u. vwf:rco"
Q2042,"Injection, hydroxyprogesterone caproate, 1 mg"
Q2044,"Injection, belimumab, 10 mg"
Q2045,"Injection, human fibrinogen concentrate, 1 mg"
Q2046,"Injection, aflibercept, 1 mg"
Q2047,"Injection, peginesatide, 0.1 mg (for esrd on dialysis)"
Q2048,"Injection, doxorubicin hydrochloride, liposomal, doxil, 10 mg"
Q4079,"Injection, natalizumab, 1 mg"
Q4080,"Iloprost, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, 20 micrograms"
Q4083,"Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose"
Q4084,"Hyaluronan or derivative, synvisc, for intra-articular injection, per dose"
Q4085,"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose"
Q4086,"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose"
Q4087,"Injection, immune globulin, (OCTAGAM), intravenous, non-lyophilized (e.g. liquid), 500 mg"
Q4088,"Injection, immune globulin, (gammagard liquid), intravenous, non-lyophilized, (e.g. liquid), 500 mg"
Q4089,"Injection, rho(d) immune globulin (HUMAN), (RHOPHYLAC), intramuscular or intravenous, 100 iu"
Q4090,"Injection, hepatitis b immune globulin (hepagam b), intramuscular, 0.5 ml"
Q4091,"Injection, immune globulin, (FLEBOGAMMA), intravenous, non-lyophilized, (e.g. liquid), 500 mg"
Q4092,"Injection, immune globulin, (GAMUNEX), intravenous, non-lyophilized (e.g. liquid), 500 mg"
Q4093,"Albuterol, all formulations including separated isomers, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per 1 mg (ALBUTEROL) or per 0.5 mg (LEVALBUTEROL)"
Q4094,"Albuterol, all formulations including separated isomers, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, per 1 mg (ALBUTEROL) or per 0.5 mg (LEVALBUTEROL)"
Q4095,"Injection, zoledronic acid (RECLAST), 1 mg"
Q4096,"Injection, von willebrand factor complex, human, ristocetin cofactor (not otherwise specified), per i.u. vwf: rco"
Q4097,"Injection, immune globulin (PRIVIGEN), intravenous, non-lyophilized (e.g. liquid), 500 mg"
Q4098,"Injection, iron dextran, 50 mg"
Q4099,"Formoterol fumarate, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 20 micrograms"
Q4109,"Skin substitute, tissuemend, per square centimeter"
Q9945,"Low osmolar contrast material, up to 149 mg/ml iodine concentration, per ml"
Q9946,"Low osmolar contrast material, 150-199 mg/ml iodine concentration, per ml"
Q9947,"Low osmolar contrast material, 200-249 mg/ml iodine concentration, per ml"
Q9948,"Low osmolar contrast material, 250-299 mg/ml iodine concentration, per ml"
Q9949,"Low osmolar contrast material, 300-349 mg/ml iodine concentration, per ml"
Q9952,"Injection, gadolinium-based magnetic resonance contrast agent, per ml"
S0141,"Zalcitabine (DDC), 0.375 mg"
S0143,"Aztreonam, inhalation solution administered through dme, concentrated form, per gram"
S0146,"Injection, pegylated interferon alfa-2b, 10 mcg per 0.5 ml"
S0147,"Injection, alglucosidase alfa, 20 mg"
S0161,"Calcitrol, 0.25 mg"
S0162,"Injection, efalizumab, 125 mg"
S0167,"Injection, apomorphine hydrochloride, 1 mg"
S0180,"Etonogestrel (CONTRACEPTIVE) implant system, including implant and supplies"
S0181,"Ondansetron hydrochloride, oral, 4mg (for circumstances falling under the medicare statute, use q0179)"
S0196,"Injectable poly-l-lactic acid, restorative implant, 1 ml, face (deep dermis, subcutaneous layers)"
S0345,Home ecg monitrng global 24h
S0346,Home ecg monitrng tech 24hr
S0347,"Electrocardiographic monitoring utilizing a home computerized telemetry station with automatic activation and real-time notification of monitoring station, 24-hour attended monitoring, including physician review and interpretation; 24-hour period"
S0605,"Digital rectal examination, male, annual"
S0625,"Retinal telescreening by digital imaging of multiple different fundus areas to screen for vision-threatening conditions, including imaging, interpretation and report"
S0820,"Computerized corneal topography, unilateral"
S1025,Inhaled nitric oxide for the treatment of hypoxic respiratory failure in the neonate; per diem
S2075,"Laparoscopy, surgical; repair incisional or ventral hernia"
S2076,"Laparoscopy, surgical; repair umbilical hernia"
S2077,"Laparoscopy, surgical; implantation of mesh or other prosthesis for incisional or ventral hernia repair (list separately in addition to code for incisional or ventral hernia repair)"
S2078,"Laparoscopic supracervical hysterectomy (subtotal hysterectomy), with or without removal of tube(s), with or without removal of ovary(s)"
S2114,"Arthroscopy, shoulder, surgical; tenodesis of biceps"
S2135,"Neurolysis, by injection, of metatarsal neuroma/interdigital neuritis, any interspace of the foot"
S2213,Implantation of gastric electrical stimulation device
S2250,Uterine artery embolization for uterine fibroids
S2270,Insertion of vaginal cylinder for application of radiation source or clinical brachytherapy (report separately in addition to radiation source delivery)
S2344,"Nasal/sinus endoscopy, surgical; with enlargement of sinus ostium opening using inflatable device (i.e., balloon sinuplasty)"
S3618,Blood chemistry for free beta human chorionic gonadotropin (HCG)
S3628,Placental alpha microglobulin-1 rapid immunoassay for detection of rupture of fetal membranes
S3711,Circulating tumor cell test
S3713,Kras mutation analysis testing
S3818,Complete gene sequence analysis; brca1 gene
S3819,Complete gene sequence analysis; brca2 gene
S3820,Complete brca1 and brca2 gene sequence analysis for susceptibility to breast and ovarian cancer
S3822,Single mutation analysis (in individual with a known brca1 or brca2 mutation in the family) for susceptibility to breast and ovarian cancer
S3823,Three-mutation brca1 and brca2 analysis for susceptibility to breast and ovarian cancer in ashkenazi individuals
S3828,Complete gene sequence analysis; mlh1 gene
S3829,Complete gene sequence analysis; msh2 gene
S3830,Complete mlh1 and msh2 gene sequence analysis for hereditary nonpolyposis colorectal cancer (HNPCC) genetic testing
S3831,Single-mutation analysis (in individual with a known mlh1 and msh2 mutation in the family) for hereditary nonpolyposis colorectal cancer (HNPCC) genetic testing
S3835,Complete gene sequence analysis for cystic fibrosis genetic testing
S3837,Complete gene sequence analysis for hemochromatosis genetic testing
S3843,Dna analysis of the f5 gene for susceptibility to factor V leiden thrombophilia
S3847,Genetic testing for tay-sachs disease
S3848,Genetic testing for gaucher disease
S3851,Genetic testing for canavan disease
S3860,"Genetic testing, comprehensive cardiac ion channel analysis, for variants in 5 major cardiac ion channel genes for individuals with high index of suspicion for familial long qt syndrome (LQTS) or related syndromes"
S3862,Genet test cardiac ion-spec
S3905,Non-invasive electrodiagnostic testing with automatic computerized hand-held device to stimulate and measure neuromuscular signals in diagnosing and evaluating systemic and entrapment neuropathies
S8049,Intraoperative radiation therapy (single administration)
S8190,Electronic spirometer (or microspirometer)
S9075,Smoking cessation treatment
S9092,"Canolith repositioning, per visit"
S9109,"Congestive heart failure telemonitoring, equipment rental, including telescale, computer system and software, telephone connections, and maintenance, per month"
A0080,Noninterest escort in non er
A0090,Interest escort in non er
A0100,Nonemergency transport taxi
A0110,Nonemergency transport bus
A0120,Noner transport mini-bus
A0140,Nonemergency transport air
A0160,Noner transport case worker
A0170,Transport parking fees/tolls
A0180,Noner transport lodgng recip
A0190,Noner transport meals recip
A0200,Noner transport lodgng escrt
A0210,Noner transport meals escort
A0225,Neonatal emergency transport
A0425,Ground mileage
A0430,Fixed wing air transport
A0431,Rotary wing air transport
A0435,Fixed wing air mileage
A0436,Rotary wing air mileage
A0888,Noncovered ambulance mileage
A0998,Ambulance response/treatment
A0999,Unlisted ambulance service
A4206,1 cc sterile syringe&needle
A4210,Nonneedle injection device
A4211,Supp for self-adm injections
A4212,Non coring needle or stylet
A4213,20+ cc syringe only
A4215,Sterile needle
A4216,"Sterile water/saline, 10 ml"
A4217,"Sterile water/saline, 500 ml"
A4218,Sterile saline or water
A4220,Infusion pump refill kit
A4222,Infusion supplies with pump
A4223,Infusion supplies w/o pump
A4230,Infus insulin pump non needl
A4231,Infusion insulin pump needle
A4235,Lithium batt for glucose mon
A4236,Silvr oxide batt glucose mon
A4244,Alcohol or peroxide per pint
A4245,Alcohol wipes per box
A4247,Betadine/iodine swabs/wipes
A4248,Chlorhexidine antisept
A4250,Urine reagent strips/tablets
A4252,Blood ketone test or strip
A4253,Blood glucose/reagent strips
A4255,Glucose monitor platforms
A4256,Calibrator solution/chips
A4257,Replace Lensshield Cartridge
A4258,Lancet device each
A4259,Lancets per box
A4261,Cervical cap contraceptive
A4262,Temporary tear duct plug
A4263,Permanent tear duct plug
A4264,Intratubal occlusion device
A4265,Paraffin
A4266,Diaphragm
A4267,Male condom
A4268,Female condom
A4269,Spermicide
A4270,Disposable endoscope sheath
A4280,Brst prsths adhsv attchmnt
A4281,Replacement breastpump tube
A4282,Replacement breastpump adpt
A4283,Replacement breastpump cap
A4284,Replcmnt breast pump shield
A4285,Replcmnt breast pump bottle
A4286,Replcmnt breastpump lok ring
A4290,Sacral nerve stim test lead
A4301,Implantable access syst perc
A4305,Drug delivery system >=50 ml
A4306,Drug delivery system <=50 ml
A4310,Insert tray w/o bag/cath
A4311,Catheter w/o bag 2-way latex
A4314,Cath w/drainage 2-way latex
A4320,Irrigation tray
A4321,Cath therapeutic irrig agent
A4322,Irrigation syringe
A4326,Male external catheter
A4327,Fem urinary collect dev cup
A4328,Fem urinary collect pouch
A4330,Stool collection pouch
A4331,Extension drainage tubing
A4332,Lube sterile packet
A4333,Urinary cath anchor device
A4334,Urinary cath leg strap
A4335,Incontinence supply
A4336,Urethral insert
A4338,Indwelling catheter latex
A4349,Disposable male external cat
A4353,Intermittent urinary cath
A4354,Cath insertion tray w/bag
A4356,Ext ureth clmp or compr dvc
A4357,Bedside drainage bag
A4358,Urinary leg or abdomen bag
A4360,Disposable ext urethral dev
A4361,Ostomy face plate
A4362,Solid skin barrier
A4363,"Ostomy clamp, replacement"
A4364,"Adhesive, liquid or equal"
A4366,Ostomy vent
A4367,Ostomy belt
A4368,Ostomy filter
A4371,Skin barrier powder per oz
A4373,Skin barrier with flange
A4375,Drainable plastic pch w fcpl
A4376,Drainable rubber pch w fcplt
A4377,Drainable plstic pch w/o fp
A4378,Drainable rubber pch w/o fp
A4379,Urinary plastic pouch w fcpl
A4380,Urinary rubber pouch w fcplt
A4381,Urinary plastic pouch w/o fp
A4382,Urinary hvy plstc pch w/o fp
A4383,Urinary rubber pouch w/o fp
A4384,Ostomy faceplt/silicone ring
A4387,Ost clsd pouch w att st barr
A4388,Drainable pch w ex wear barr
A4389,Drainable pch w st wear barr
A4390,Drainable pch ex wear convex
A4391,Urinary pouch w ex wear barr
A4392,Urinary pouch w st wear barr
A4393,Urine pch w ex wear bar conv
A4394,Ostomy pouch liq deodorant
A4395,Ostomy pouch solid deodorant
A4396,Peristomal hernia supprt blt
A4397,Irrigation supply sleeve
A4398,Ostomy irrigation bag
A4399,Ostomy irrig cone/cath w brs
A4400,Ostomy irrigation set
A4402,Lubricant per ounce
A4404,Ostomy ring each
A4405,Nonpectin based ostomy paste
A4406,Pectin based ostomy paste
A4407,Ext wear ost skn bar <=4sq''
A4408,Ext wear ost skn barr >4sq''
A4409,Ost skn barr convex <=4 sq i
A4410,Ost skn barr extnd >4 sq
A4412,Ost pouch drain high output
A4413,2 pc drainable ost pouch
A4414,Ost sknbar w/o conv<=4 sq in
A4416,Ost pch clsd w barrier/filtr
A4417,Ost pch w bar/bltinconv/fltr
A4418,Ost pch clsd w/o bar w filtr
A4419,Ost pch for bar w flange/flt
A4420,Ost pch clsd for bar w lk fl
A4421,Ostomy supply misc
A4422,Ost pouch absorbent material
A4423,Ost pch for bar w lk fl/fltr
A4424,Ost pch drain w bar & filter
A4425,Ost pch drain for barrier fl
A4426,Ost pch drain 2 piece system
A4427,Ost pch drain/barr lk flng/f
A4428,Urine ost pouch w faucet/tap
A4429,Urine ost pouch w bltinconv
A4430,Ost urine pch w b/bltin conv
A4431,Ost pch urine w barrier/tapv
A4432,Os pch urine w bar/fange/tap
A4433,Urine ost pch bar w lock fln
A4434,Ost pch urine w lock flng/ft
A4435,1pc ost pch drain hgh output
A4450,Non-waterproof tape
A4452,Waterproof tape
A4455,Adhesive remover per ounce
A4456,"Adhesive remover, wipes"
A4458,Reusable enema bag
A4459,"Manual pump enema, reusable"
A4461,Surgicl dress hold non-reuse
A4463,Surgical dress holder reuse
A4465,Non-elastic extremity binder
A4470,Gravlee jet washer
A4481,Tracheostoma filter
A4483,Moisture exchanger
A4490,Above knee surgical stocking
A4495,Thigh length surg stocking
A4500,Below knee surgical stocking
A4510,Full length surg stocking
A4550,Surgical trays
A4554,Disposable underpads
A4555,Ca tx e-stim electr/transduc
A4559,Coupling gel or paste
A4561,"Pessary rubber, any type"
A4562,"Pessary, non rubber,any type"
A4565,Slings
A4566,Should sling/vest/abrestrain
A4570,Splint
A4575,Hyperbaric O2 chamber disps
A4600,"Sleeve, inter limb comp dev"
A4601,Lith ion non prosth recharge
A4602,Replace lithium battery 1.5V
A4604,Tubing with heating element
A4605,Trach suction cath close sys
A4606,Oxygen probe used w oximeter
A4608,Transtracheal oxygen cath
A4611,Heavy duty battery
A4612,Battery cables
A4613,Battery charger
A4614,Hand-held PEFR meter
A4615,Cannula nasal
A4616,Tubing (oxygen) per foot
A4617,Mouth piece
A4618,Breathing circuits
A4619,Face tent
A4620,Variable concentration mask
A4623,Tracheostomy inner cannula
A4624,Tracheal suction tube
A4625,Trach care kit for new trach
A4626,Tracheostomy cleaning brush
A4627,Spacer bag/reservoir
A4628,Oropharyngeal suction cath
A4629,Tracheostomy care kit
A4630,Repl bat t.e.n.s. own by pt
A4633,UVL replacement bulb
A4634,Replacement bulb th lightbox
A4635,Underarm crutch pad
A4636,Handgrip for cane etc
A4637,Repl tip cane/crutch/walker
A4638,Repl batt pulse gen sys
A4639,Infrared ht sys replcmnt pad
A4640,Alternating pressure pad
A4641,Radiopharm dx agent NOC
A4648,Implantable tissue marker
A4649,Surgical supplies
A4650,Implant radiation dosimeter
A4651,Calibrated microcap tube
A4652,Microcapillary tube sealant
A4653,PD catheter anchor belt
A4657,Syringe w/wo needle
A4660,Sphyg/BP app w cuff and stet
A4663,Dialysis blood pressure cuff
A4670,Automatic BP monitor
A4671,Disposable cycler set
A4672,"Drainage ext line, dialysis"
A4673,Ext line w easy lock connect
A4674,"Chem/antisept solution, 8oz"
A4680,"Activated carbon filter, ea"
A4690,"Dialyzer, each"
A4706,Bicarbonate conc sol per gal
A4707,Bicarbonate conc pow per pac
A4708,Acetate conc sol per gallon
A4709,Acid conc sol per gallon
A4714,Treated water per gallon
A4720,Dialysat sol fld vol > 249cc
A4726,Dialys sol fld vol > 5999cc
A4728,"Dialysate solution, non-dex"
A4730,"Fistula cannulation set, ea"
A4736,"Topical anesthetic, per gram"
A4737,Inj anesthetic per 10 ml
A4740,Shunt accessory
A4750,Art or venous blood tubing
A4755,Comb art/venous blood tubing
A4760,"Dialysate sol test kit, each"
A4765,Dialysate conc pow per pack
A4766,Dialysate conc sol add 10 ml
A4770,Blood collection tube/vacuum
A4771,Serum clotting time tube
A4772,Blood glucose test strips
A4773,Occult blood test strips
A4774,Ammonia test strips
A4802,Protamine sulfate per 50 mg
A4860,Disposable catheter tips
A4870,Plumb/elec wk hm hemo equip
A4890,Repair/maint cont hemo equip
A4911,Drain bag/bottle
A4913,Misc dialysis supplies NOS
A4918,Venous pressure clamp
A4927,Non-sterile gloves
A4928,Surgical mask
A4929,"Tourniquet for dialysis, ea"
A4930,"Sterile, gloves per pair"
A4931,Reusable oral thermometer
A4932,Reusable rectal thermometer
A5051,Pouch clsd w barr attached
A5052,Clsd ostomy pouch w/o barr
A5053,Clsd ostomy pouch faceplate
A5054,Clsd ostomy pouch w/flange
A5055,Stoma cap
A5056,1 pc ost pouch w filter
A5057,1 pc ost pou w built-in conv
A5062,Drnble ostomy pouch w/o barr
A5063,Drain ostomy pouch w/flange
A5071,Urinary pouch w/barrier
A5072,Urinary pouch w/o barrier
A5073,Urinary pouch on barr w/flng
A5081,"Stoma plug or seal, any type"
A5082,Continent stoma catheter
A5083,Stoma absorptive cover
A5093,Ostomy accessory convex inse
A5102,Bedside drain btl w/wo tube
A5105,Urinary suspensory
A5112,Urinary leg bag
A5113,Latex leg strap
A5114,Foam/fabric leg strap
A5120,"Skin barrier, wipe or swab"
A5121,Solid skin barrier 6x6
A5122,Solid skin barrier 8x8
A5126,Disk/foam pad +or- adhesive
A5131,Appliance cleaner
A5200,Percutaneous catheter anchor
A5501,Diabetic custom molded shoe
A5503,Diabetic shoe w/roller/rockr
A5504,Diabetic shoe with wedge
A5505,Diab shoe w/metatarsal bar
A5506,Diabetic shoe w/off set heel
A5507,Modification diabetic shoe
A5508,Diabetic deluxe shoe
A5510,Compression form shoe insert
A6000,Wound warming wound cover
A6010,Collagen based wound filler
A6011,Collagen gel/paste wound fil
A6021,Collagen dressing <=16 sq in
A6022,Collagen drsg>6<=48 sq in
A6023,Collagen dressing >48 sq in
A6024,Collagen dsg wound filler
A6154,Wound pouch each
A6199,Alginate drsg wound filler
A6207,Contact layer >16<= 48 sq in
A6208,Contact layer > 48 sq in
A6209,Foam drsg <=16 sq in w/o bdr
A6210,Foam dsg >16<=48 sq in w/o b
A6211,Foam dsg > 48 sq in w/o brdr
A6212,Foam dsg <=16 sq in w/border
A6213,Foam dsg >16<=48 sq in w/bdr
A6214,Foam dsg > 48 sq in w/border
A6215,Foam dressing wound filler
A6216,Non-sterile gauze<=16 sq in
A6217,Non-sterile gauze>16<=48 sq
A6218,Non-sterile gauze > 48 sq in
A6219,Gauze <= 16 sq in w/border
A6220,Gauze >16 <=48 sq in w/bordr
A6221,Gauze > 48 sq in w/border
A6222,Gauze <=16 in no w/sal w/o b
A6228,Gauze <= 16 sq in water/sal
A6229,Gauze >16<=48 sq in watr/sal
A6230,Gauze > 48 sq in water/salne
A6231,Hydrogel dsg<=16 sq in
A6232,Hydrogel dsg>16<=48 sq in
A6233,Hydrogel dressing >48 sq in
A6234,Hydrocolld dsg <=16 w/o bdr
A6235,Hydrocolld dsg >16<=48 w/o b
A6236,Hydrocolld dsg > 48 in w/o b
A6237,Hydrocolld dsg <=16 in w/bdr
A6238,Hydrocolld dsg >16<=48 w/bdr
A6239,Hydrocolld dsg > 48 in w/bdr
A6240,Hydrocolld dsg filler paste
A6241,Hydrocolloid dsg filler dry
A6242,Hydrogel dsg <=16 in w/o bdr
A6243,Hydrogel dsg >16<=48 w/o bdr
A6244,Hydrogel dsg >48 in w/o bdr
A6245,Hydrogel dsg <= 16 in w/bdr
A6246,Hydrogel dsg >16<=48 in w/b
A6247,Hydrogel dsg > 48 sq in w/b
A6248,Hydrogel drsg gel filler
A6250,Skin seal protect moisturizr
A6251,Absorpt dsg <=16 sq in w/o b
A6252,Absorpt dsg >16 <=48 w/o bdr
A6253,Absorpt dsg > 48 sq in w/o b
A6254,Absorpt dsg <=16 sq in w/bdr
A6255,Absorpt dsg >16<=48 in w/bdr
A6256,Absorpt dsg > 48 sq in w/bdr
A6257,Transparent film <= 16 sq in
A6258,Transparent film >16<=48 in
A6259,Transparent film > 48 sq in
A6260,Wound cleanser any type/size
A6261,Wound filler gel/paste /oz
A6262,Wound filler dry form / gram
A6266,Impreg gauze no H2O/sal/yard
A6402,Sterile gauze <= 16 sq in
A6403,Sterile gauze>16 <= 48 sq in
A6404,Sterile gauze > 48 sq in
A6407,"Packing strips, non-impreg"
A6410,Sterile eye pad
A6411,Non-sterile eye pad
A6412,Occlusive eye patch
A6413,"Adhesive bandage, first-aid"
A6441,Pad band w>=3''<5''/yd
A6442,Conform band n/s w<3''/yd
A6443,Conform band n/s w>=3<5''/yd
A6444,Conform band n/s w>=5''/yd
A6445,Conform band s w <3''/yd
A6446,Conform band s w>=3''<5''/yd
A6447,Conform band s w >=5''/yd
A6448,Lt compres band <3''/yd
A6449,Lt compres band >=3''<5''/yd
A6450,Lt compres band >=5''/yd
A6451,Mod compres band w>=3<5''/yd
A6452,High compres band w>=3<5''yd
A6453,Self-adher band w <3''/yd
A6454,Self-adher band w>=3<5''/yd
A6455,Self-adher band >=5''/yd
A6456,Zinc paste band w >=3<5''/yd
A6457,Tubular dressing
A6501,Compres burngarment bodysuit
A6502,Compres burngarment chinstrp
A6503,Compres burngarment facehood
A6504,Cmprsburngarment glove-wrist
A6505,Cmprsburngarment glove-elbow
A6506,Cmprsburngrmnt glove-axilla
