ICD9Code,ShortDescription
6371,Unspecified abortion complicated by delayed or excessive hemorrhage
63712,"Unspecified abortion, complicated by delayed or excessive hemorrhage, complete"
63731,"Unspecified abortion, complicated by renal failure, incomplete"
63752,"Unspecified abortion, complicated by shock, complete"
64080,"Other specified hemorrhage in early pregnancy, unspecified as to episode of care or not applicable"
6419,Unspecified antepartum hemorrhage
64231,"Transient hypertension of pregnancy, delivered , with or without mention of antepartum condition"
64232,"Transient hypertension of pregnancy, delivered, with mention of postpartum complication"
64250,"Severe pre-eclampsia, unspecified as to episode of care or not applicable"
6429,Unspecified hypertension complicating pregnancy childbirth or the puerperium
643,Excessive vomiting in pregnancy
64303,"Mild hyperemesis gravidarum, antepartum condition or complication"
6441,Other threatened labor
53260,"Chronic or unspecified duodenal ulcer with hemorrhage and perforation, without mention of obstruction"
5331,Acute peptic ulcer of unspecified site with perforation
53400,"Acute gastrojejunal ulcer with hemorrhage, without mention of obstruction"
5341,Acute gastrojejunal ulcer with perforation
53511,"Atrophic gastritis, with hemorrhage"
550,Inguinal hernia
55000,"Inguinal hernia, with gangrene, unilateral or unspecified (not specified as recurrent)"
5501,Inguinal hernia with obstruction without mention of gangrene
551,Other hernia of abdominal cavity with gangrene
5519,"Hernia of unspecified site, with gangrene"
55300,"Femoral hernia without mention of obstruction of gangrene, unilateral or unspecified(not specified as recurrent)"
5563,Ulcerative (CHRONIC) proctosigmoiditis
5564,Pseudopolyposis of colon
5566,Universal ulcerative (CHRONIC) colitis
557,Vascular insufficiency of intestine
5579,Unspecified vascular insufficiency of intestine
5648,Other specified functional disorders of intestine
56781,Choleperitonitis
5679,Unspecified peritonitis
5691,Rectal prolapse
57140,"Chronic hepatitis, unspecified"
5719,Unspecified chronic liver disease without mention of alcohol
5731,Hepatitis in viral diseases classified elsewhere
57461,"Calculus of gallbladder and bile duct with acute cholecystitis, with obstruction"
5748,Calculus of gallbladder and bile duct with acute and chronic cholecystitis
5751,Other cholecystitis
5756,Cholesterolosis of gallbladder
5771,Chronic pancreatitis
5812,Nephrotic syndrome with lesion of membranoproliferative glomerulonephritis
4438,Other specified peripheral vascular diseases
4439,"Peripheral vascular disease, unspecified"
44581,Atheroembolism of kidney
4471,Stricture of artery
44772,Abdominal aortic ectasia
4479,Unspecified disorders of arteries and arterioles
448,Disease of capillaries
4554,External thrombosed hemorrhoids
4556,Unspecified hemorrhoids without mention of complication
4566,Vulval varices
4579,Unspecified noninfectious disorder of lymphatic channels
459,Other disorders of circulatory system
45911,Postphlebetic syndrome with ulcer
4610,Acute maxillary sinusitis
46431,Acute epiglottitis with obstruction
46450,"Supraglottitis unspecified, without obstruction"
470,Deviated nasal septum
471,Nasal polyps
4710,Polyp of nasal cavity
4711,Polypoid sinus degeneration
4722,Chronic nasopharyngitis
47874,Stenosis of larynx
4801,Pneumonia due to respiratory syncytial virus
4802,Pneumonia due to parainfluenza virus
4871,Influenza with other respiratory manifestations
49301,Extrinsic asthma with status asthmaticus
5070,Pneumonitis due to inhalation of food or vomitus
5080,Acute pulmonary manifestations due to radiation
4558,Unspecified hemorrhoids with other complication
4560,Esophageal varices with bleeding
4599,Unspecified circulatory system disorder
46420,Acute laryngotracheitis without mention of obstruction
466,Acute bronchitis and bronchiolitis
4732,Chronic ethmoidal sinusitis
47819,Other disease of nasal cavity and sinuses
47833,"Bilateral paralysis of vocal cords or larynx, partial"
4786,Edema of larynx
4843,Pneumonia in whooping cough
4847,Pneumonia in other systemic mycoses
490,"Bronchitis, not specified as acute or chronic"
4910,Simple chronic bronchitis
4931,Intrinsic asthma
49310,"Intrinsic asthma, unspecified"
4950,Farmers' lung
4955,Mushroom workers' lung
4957,"ventilation" pneumonitis
51284,Other air leak
5130,Abscess of lung
51662,Pulmonary interstitial glycogenosis
51663,Surfactant mutations of the lung
51852,"Other pulmonary insufficiency, not elsewhere classified, following trauma and surgery"
51909,Other tracheostomy complications
520,Disorders of tooth development and eruption
52106,Dental caries pit and fissure
52107,Dental caries of smooth surface
52115,"Excessive attrition, generalized"
52181,Cracked tooth
52322,"Gingival recession, moderate"
52342,"Chronic periodontitis, generalized"
5235,Periodontosis
29664,"Bipolar I disorder, most recent episode (or current) mixed, severe, specified as with psychotic behavior"
2973,Shared psychotic disorder
2998,Other specified pervasive developmental disorders
3016,Dependent personality disorder
30250,Trans-sexualism with unspecified sexual history
30276,"Dyspareunia, psychogenic"
30281,Fetishism
30413,"Sedative, hypnotic or anxiolytic dependence, in remission"
3050,Nondependent alcohol abuse
30503,"Alcohol abuse, in remission"
3052,Nondependent cannabis abuse
30532,"Hallucinogen abuse, episodic"
30573,"Amphetamine or related acting sympathomimetic abuse, in remission"
30580,"Antidepressant type abuse, unspecified"
30581,"Antidepressant type abuse, continuous"
30653,Psychogenic dysuria
30747,Other dysfunctions of sleep stages or arousal from sleep
30754,Psychogenic vomiting
3084,Mixed disorders as reaction to stress
3094,Adjustment disorder with mixed disturbance of emotions and conduct
31081,Pseudobulbar affect
31200,"Undersocialized conduct disorder, aggressive type, unspecified"
31201,"Undersocialized conduct disorder, aggressive type, mild"
31203,"Undersocialized conduct disorder, aggressive type, severe"
31232,Kleptomania
31382,Identity disorder of childhood or adolescence
3180,Moderate intellectual disabilities
32081,Anaerobic meningitis
3270,Organic disorders of initiating and maintaining sleep [organic insomnia]
32732,"Circadian rhythm sleep disorder, advanced sleep phase type"
32743,Recurrent isolated sleep paralysis
32751,Periodic limb movement disorder
3301,Cerebral lipidoses
33183,"Mild cognitive impairment, so stated"
33392,Neuroleptic malignant syndrome
33700,"Idiopathic peripheral autonomic neuropathy, unspecified"
3381,Acute pain
33922,Chronic post-traumatic headache
65903,"Failed mechanical induction of labor, antepartum condition or complication"
6591,Failed medical or unspecified induction of labor
65910,"Failed medical or unspecified induction of labor, unspecified as to episode of care or not applicable"
66051,"Locked twins, delivered, with or without mention of antepartum condition"
66061,"Unspecified failed trial of labor, delivered, with or without mention of antepartum condition"
66063,"Unspecified failed trial of labor, antepartum condition or complication"
6608,Other causes of obstructed labor
66090,"Unspecified obstructed labor, unspecified as to episode of care or not applicable"
66231,"Delayed delivery of second twin, triplet, etc., delivered, with or without mention of antepartum condition"
66331,"Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition"
66380,"Other umbilical cord complications complicating labor and delivery, unspecified as to episode of care or not applicable"
664,Trauma to perineum and vulva during delivery
66430,"Fourth-degree perineal laceration, unspecified as to episode of care or not applicable"
6644,Unspecified perineal laceration during delivery
66440,"Unspecified perineal laceration, unspecified as to episode of care or not applicable"
66531,"Laceration of cervix, delivered, with or without mention of antepartum condition"
66554,"Other injury to pelvic organs, postpartum condition or complication"
6660,Third-stage postpartum hemorrhage
66600,"Third-stage postpartum hemorrhage, unspecified as to episode of care or not applicable"
66614,"Other immediate postpartum hemorrhage, postpartum condition or complication"
66813,"Cardiac complications of anesthesia or other sedation in labor and delivery, antepartum condition or complication"
66822,"Central nervous system complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication"
66994,"Unspecified complication of labor and delivery, postpartum condition or complication"
67010,"Puerperal endometritis, unspecified as to episode of care or not applicable"
6711,Varicose veins of vulva and perineum in pregnancy and the puerperium
6712,Superficial thrombophlebitis in pregnancy and the puerperium
67120,"Superficial thrombophlebitis complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable"
67142,"Deep phlebothrombosis, postpartum, delivered, with mention of postpartum complication"
67154,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, postpartum condition or complication"
67190,"Unspecified venous complication of pregnancy and the puerperium, unspecified as to episode of care or not applicable"
65120,"Quadruplet pregnancy, unspecified as to episode of care or not applicable"
65130,"Twin pregnancy with fetal loss and retention of one fetus, unspecified as to episode of care or not applicable"
65191,"Unspecified multiple gestation, delivered, with or without mention of antepartum condition"
6521,Breech or other malpresentation successfully converted to cephalic presentation
65233,"Transverse or oblique presentation, antepartum condition or complication"
65240,"Face or brow presentation, unspecified as to episode of care or not applicable"
65303,"Major abnormality of bony pelvis, not further specified, antepartum condition or complication"
65311,"Generally contracted pelvis, delivered, with or without mention of antepartum condition"
65341,"Fetopelvic disproportion, delivered, with or without mention of antepartum condition"
65360,"Hydrocephalic fetus causing disproportion, unspecified as to episode of care or not applicable"
65380,"Disproportion of other origin, unspecified as to episode of care or not applicable"
65432,"Retroverted and incarcerated gravid uterus, delivered, with mention of postpartum complication"
65470,"Congenital or acquired abnormality of vagina, unspecified as to episode of care or not applicable"
6548,Congenital or acquired abnormality of vulva complicating pregnancy childbirth or the puerperium
6558,Other known or suspected fetal abnormality not elsewhere classified affecting management of mother
65580,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, unspecified as to episode of care or not applicable"
65810,"Premature rupture of membranes, unspecified as to episode of care or not applicable"
65830,"Delayed delivery after artificial rupture of membranes, unspecified as to episode of care or not applicable"
65881,"Other problems associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition"
6592,Maternal pyrexia during labor unspecified
65931,"Generalized infection during labor, delivered, with or without mention of antepartum condition"
65981,"Other specified indications for care or intervention related to labor and delivery, delivered, with or without mention of antepartum condition"
6609,Unspecified obstructed labor
6611,Secondary uterine inertia
6614,Hypertonic incoordinate or prolonged uterine contractions
66213,"Unspecified prolonged labor, antepartum condition or complication"
66311,"Cord around neck, with compression, complicating labor and delivery, delivered, with or without mention of antepartum condition"
66320,"Other and unspecified cord entanglement, with compression, complicating labor and delivery, unspecified as to episode of care or not applicable"
66410,"Second-degree perineal laceration, unspecified as to episode of care or not applicable"
48283,Pneumonia due to other gram-negative bacteria
4838,Pneumonia due to other specified organism
4911,Mucopurulent chronic bronchitis
4919,Unspecified chronic bronchitis
4920,Emphysematous bleb
4952,Bird-fanciers' lung
5190,Tracheostomy complications
52124,"Abrasion, localized"
523,Gingival and periodontal diseases
52321,"Gingival recession, minimal"
52323,"Gingival recession, severe"
524,Dentofacial anomalies including malocclusion
52426,Excessive horizontal overlap
52430,Unspecified anomaly of tooth position
52434,Vertical displacement of teeth
52476,Occlusal plane deviation
5268,Other specified diseases of the jaws
52689,Other specified diseases of the jaws
52809,Other stomatitis and mucositis (ULCERATIVE)
52872,Excessive keratinized residual ridge mucosa
5307,Gastroesophageal laceration-hemorrhage syndrome
53089,Other specified disorders of esophagus
5327,Chronic duodenal ulcer without mention of hemorrhage or perforation
53270,"Chronic duodenal ulcer without mention of hemorrhage or perforation, without mention of obstruction"
5332,Acute peptic ulcer of unspecified site with hemorrhage and perforation
34641,"Menstrual migraine, with intractable migraine, so stated, without mention of status migrainosus"
3465,Persistent migraine aura without cerebral infarction
347,Cataplexy and narcolepsy
34939,Other dural tear
3510,Bell's palsy
3540,Carpal tunnel syndrome
3542,Lesion of ulnar nerve
3558,"Mononeuritis of lower limb, unspecified"
3561,Peroneal muscular atrophy
3581,Myasthenic syndromes in diseases classified elsewhere
35989,Other myopathies
36003,Chronic endophthalmitis
3601,Other endophthalmitis
36033,Hypotony associated with other ocular disorders
36044,Leucocoria
3612,Serous retinal detachment
3622,Other proliferative retinopathy
36220,"Retinopathy of prematurity, unspecified"
36241,Central serous retinopathy
3626,Peripheral retinal degenerations
3627,Hereditary retinal dystrophies
36277,Dystrophies primarily involving bruch's membrane
36282,Retinal exudates and deposits
36285,Retinal nerve fiber bundle defects
36342,Diffuse secondary atrophy of choroid
36351,"Circumpapillary dystrophy of choroid, partial"
36473,Goniosynechiae
36475,Pupillary abnormalities
36510,"Open-angle glaucoma, unspecified"
3653,Corticosteroid-induced glaucoma
36573,Severe stage glaucoma
36600,"Nonsenile cataract, unspecified"
36616,Senile nuclear sclerosis
36643,Myotonic cataract
5302,Ulcer of esophagus
53100,"Acute gastric ulcer with hemorrhage, without mention of obstruction"
53160,"Chronic or unspecified gastric ulcer with hemorrhage and perforation, without mention of obstruction"
532,Duodenal ulcer
53211,"Acute duodenal ulcer with perforation, with obstruction"
5325,Chronic or unspecified duodenal ulcer with perforation
533,Peptic ulcer site unspecified
5330,Acute peptic ulcer of unspecified site with hemorrhage
53310,"Acute peptic ulcer of unspecified site with perforation, without mention of obstruction"
53351,"Chronic or unspecified peptic ulcer of unspecified site with perforation, with obstruction"
5344,Chronic or unspecified gastrojejunal ulcer with hemorrhage
53440,"Chronic or unspecified gastrojejunal ulcer with hemorrhage, without mention of obstruction"
53441,"Chronic or unspecified gastrojejunal ulcer, with hemorrhage, with obstruction"
5375,Gastroptosis
5379,Unspecified disorder of stomach and duodenum
55013,"Inguinal hernia, with obstruction, without mention of gangrene, bilateral, recurrent"
5513,Diaphragmatic hernia with gangrene
5518,"Hernia of other specified sites, with gangrene"
55302,"Femoral hernia without mention of obstruction or gangrene, bilateral (not specified as recurrent)"
55321,Incisional hernia without mention of obstruction or gangrene
5565,Left-sided ulcerative (CHRONIC) colitis
5568,Other ulcerative colitis
560,Intestinal obstruction without mention of hernia
56030,"Impaction of intestine, unspecified"
5609,Unspecified intestinal obstruction
56213,Diverticulitis of colon with hemorrhage
5646,Anal spasm
5673,Retroperitoneal infections
56881,Hemoperitoneum (NONTRAUMATIC)
56882,Peritoneal effusion (CHRONIC)
56942,Anal or rectal pain
5400,Acute appendicitis with generalized peritonitis
5523,Diaphragmatic hernia with obstruction
5532,Ventral hernia without mention of obstruction or gangrene
5561,Ulcerative (CHRONIC) ileocolitis
5562,Ulcerative (CHRONIC) proctitis
5589,Other and unspecified noninfectious gastroenteritis and colitis
5602,Volvulus
56081,Intestinal or peritoneal adhesions with obstruction (POSTOPERATIVE) (POSTINFECTION)
56211,Diverticulitis of colon (without mention of hemorrhage)
56400,"Constipation, unspecified"
56729,Other suppurative peritonitis
56731,Psoas muscle abscess
56739,Other retroperitoneal infections
5678,Other specified peritonitis
56782,Sclerosing mesenteritis
5692,Stenosis of rectum and anus
5693,Hemorrhage of rectum and anus
56984,Angiodysplasia of intestine (without mention of hemorrhage)
5720,Abscess of liver
5730,Chronic passive congestion of liver
57470,"Calculus of gallbladder and bile duct with other cholecystitis, without mention of obstruction"
576,Other disorders of biliary tract
5778,Other specified diseases of pancreas
5779,Unspecified disease of pancreas
5822,Chronic glomerulonephritis with lesion of membranoproliferative glomerulonephritis
5852,"Chronic kidney disease, stage II (MILD)"
5901,Acute pyelonephritis
5929,"Urinary calculus, unspecified"
491,Chronic bronchitis
517,Lung involvement in conditions classified elsewhere
5184,"Acute edema of lung, unspecified"
51882,"Other pulmonary insufficiency, not elsewhere classified"
51919,Other diseases of trachea and bronchus
5209,Unspecified disorder of tooth development and eruption
521,Diseases of hard tissues of teeth
5221,Necrosis of the pulp
5224,Acute apical periodontitis of pulpal origin
52428,Anomalies of interarch distance
52452,Limited mandibular range of motion
52524,Minimal atrophy of the maxilla
52540,"Complete edentulism, unspecified"
52544,"Complete edentulism, class IV"
52550,"Partial edentulism, unspecified"
52552,"Partial edentulism, class II"
5256,Unsatisfactory restoration of tooth
5269,Unspecified disease of the jaws
5286,"Leukoplakia of oral mucosa, including tongue"
5311,Acute gastric ulcer with perforation
53151,"Chronic or unspecified gastric ulcer with perforation, with obstruction"
5317,Chronic gastric ulcer without mention of hemorrhage or perforation
5322,Acute duodenal ulcer with hemorrhage and perforation
53231,"Acute duodenal ulcer without mention of hemorrhage or perforation, with obstruction"
64511,"Post term pregnancy, delivered, with or without mention of antepartum condition"
64644,"Peripheral neuritis in pregnancy, postpartum condition or complication"
64673,"Liver and biliary tract disorders in pregnancy, antepartum condition or complication"
64680,"Other specified complications of pregnancy, unspecified as to episode of care or not applicable"
64693,"Unspecified complication of pregnancy, antepartum condition or complication"
64714,"Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
64731,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
6474,Malaria complicating pregnancy childbirth or the puerperium
64801,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
64850,"Congenital cardiovascular disorders of mother, unspecified as to episode of care or not applicable"
64871,"Bone and joint disorders of back, pelvis, and lower limbs of mother, delivered, with or without mention of antepartum condition"
64914,"Obesity complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
64941,"Epilepsy complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
64981,"Onset (SPONTANEOUS) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (PLANNED) cesarean section, delivered, with or without mention of antepartum condition"
65150,"Quadruplet pregnancy with fetal loss and retention of one or more fetus(ES), unspecified as to episode of care or not applicable"
65220,"Breech presentation without mention of version, unspecified as to episode of care or not applicable"
65250,"High head at term, unspecified as to episode of care or not applicable"
65340,"Fetopelvic disproportion, unspecified as to episode of care or not applicable"
65351,"Unusually large fetus causing disproportion, delivered, with or without mention of antepartum condition"
65463,"Other congenital or acquired abnormality of cervix, antepartum condition or complication"
6549,Other and unspecified abnormality of organs and soft tissues of pelvis complicating pregnancy childbirth and the puerperium
65640,"Intrauterine death, affecting management of mother, unspecified as to episode of care or not applicable"
65641,"Intrauterine death, affecting management of mother, delivered, with or without mention of antepartum condition"
65811,"Premature rupture of membranes, delivered, with or without mention of antepartum condition"
65813,"Premature rupture of membranes, antepartum condition or complication"
65821,"Delayed delivery after spontaneous or unspecified rupture of membranes, delivered, with or without mention of antepartum condition"
65841,"Infection of amniotic cavity, delivered, with or without mention of antepartum condition"
65940,"Grand multiparity, unspecified as to episode of care or not applicable"
66000,"Obstruction caused by malposition of fetus at onset of labor, unspecified as to episode of care or not applicable"
59010,Acute pyelonephritis without lesion of renal medullary necrosis
5952,Other chronic cystitis
5959,"Cystitis, unspecified"
59655,Detrusor sphincter dyssynergia
5990,"Urinary tract infection, site not specified"
6002,Benign localized hyperlplasia of prostate
6013,Prostatocystitis
6014,Prostatitis in diseases classified elsewhere
602,Other disorders of prostate
60490,"Orchitis and epididymitis, unspecified"
60882,Hematospermia
6114,Atrophy of breast
6115,Galactocele
6119,Unspecified breast disorder
6161,Vaginitis and vulvovaginitis
6178,Endometriosis of other specified sites
61803,Urethrocele
6186,"Vaginal enterocele, congenital or acquired"
61881,Incompetence or weakening of pubocervical tissue
6210,Polyp of corpus uteri
62211,Mild dysplasia of cervix
624,Noninflammatory disorders of vulva and perineum
62409,Other dystrophy of vulva
6243,Hypertrophy of labia
6281,"Infertility, female, of pituitary-hypothalamic origin"
633,Ectopic pregnancy
63311,Tubal pregnancy with intrauterine pregnancy
6332,Ovarian pregnancy
63390,Unspecified ectopic pregnancy without intrauterine pregnancy
634,Spontaneous abortion
63401,"Spontaneous abortion, complicated by genital tract and pelvic infection, incomplete"
6346,Spontaneous abortion complicated by embolism
63462,"Spontaneous abortion, complicated by embolism, complete"
36362,Expulsive choroidal hemorrhage
36363,Choroidal rupture
364,Disorders of iris and ciliary body
36401,Primary iridocyclitis
36403,"Secondary iridocyclitis, infectious"
36441,Hyphema of iris and ciliary body
36456,Degenerative changes of chamber angle
36500,"Preglaucoma, unspecified"
3651,Open-angle glaucoma
36551,Phacolytic glaucoma
36652,"Other after-cataract, not obscuring vision"
3670,Hypermetropia
3675,Disorders of accommodation
36907,Better eye: profound vision impairment; lesser eye: near-total vision impairment
36964,One eye: near-total vision impairment; other eye: vision not specified
36974,One eye: moderate vision impairment; other eye: vision not specified
37031,Phlyctenular keratoconjunctivitis
3704,Other and unspecified keratoconjunctivitis
37040,"Keratoconjunctivitis, unspecified"
3705,Interstitial and deep keratitis
37061,Localized vascularization of cornea
37110,"Corneal deposit, unspecified"
37112,Stromal corneal pigmentations
37121,Idiopathic corneal edema
37132,Folds in descemet's membrane
37140,"Corneal degeneration, unspecified"
37148,Peripheral degenerations of cornea
37211,Simple chronic conjunctivitis
3722,Blepharoconjunctivitis
37221,Angular blepharoconjunctivitis
37239,Other conjunctivitis
37245,Recurrent pterygium
37252,Pseudopterygium
37263,Symblepharon
3739,Unspecified inflammation of eyelid
37410,"Ectropion, unspecified"
3742,Lagophthalmos
37453,Hypopigmentation of eyelid
37485,Vascular anomalies of eyelid
37522,Epiphora due to insufficient drainage
37554,Stenosis of lacrimal sac
37557,Dacryolith
6730,Obstetrical air embolism
67333,"Obstetrical pyemic and septic embolism, antepartum condition or complication"
67334,"Obstetrical pyemic and septic embolism, postpartum condition or complication"
67381,"Other obstetrical pulmonary embolism, delivered, with or without mention of antepartum condition"
67522,"Nonpurulent mastitis associated with childbirth, delivered, with mention of postpartum complication"
67594,"Unspecified infection of the breast and nipple associated with childbirth, postpartum condition or complication"
67603,"Retracted nipple associated with childbirth, antepartum condition or complication"
67620,"Engorgement of breasts associated with childbirth, unspecified as to episode of care or not applicable"
67651,"Suppressed lactation, delivered, with or without mention of antepartum condition"
67660,"Galactorrhea associated with childbirth, unspecified as to episode of care or not applicable"
678,Other fetal conditions
679,Complications of in utero procedures
6790,Maternal complications of in utero procedures
6811,Cellulitis and abscess of toe
6820,Cellulitis and abscess of face
6824,"Cellulitis and abscess of hand, except fingers and thumb"
6828,Cellulitis and abscess of other specified sites
6910,Diaper or napkin rash
69275,Disseminated superficial actinic porokeratosis (DSAP)
69284,Contact dermatitis and other eczema due to animal (CAT) (DOG) dander
69512,Erythema multiforme major
6953,Rosacea
6954,Lupus erythematosus
6955,Exfoliation due to erythematous conditions according to extent of body surface involved
69556,Exfoliation due to erythematous condition involving 60-69 percent of body surface
6961,Other psoriasis
6980,Pruritus ani
6982,Prurigo
7012,Acquired acanthosis nigricans
70211,Inflamed seborrheic keratosis
70583,Hidradenitis
70703,"Pressure ulcer, lower back"
70707,"Pressure ulcer, heel"
70719,Ulcer of other part of lower limb
33941,Hemicrania continua
34122,Idiopathic transverse myelitis
3429,Hemiplegia unspecified
34401,"Quadriplegia, c1-c4, complete"
3442,Diplegia of upper limbs
34441,Monoplegia of upper limb affecting dominant side
3454,Localization-related epilepsy and epileptic syndromes with complex partial seizures
34541,"Localization-related (FOCAL) (PARTIAL) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy"
34581,"Other forms of epilepsy and recurrent seizures, with intractable epilepsy"
3460,Migraine with aura
34611,"Migraine without aura, with intractable migraine, so stated, without mention of status migrainosus"
34660,"Persistent migraine aura with cerebral infarction, without mention of intractable migraine without mention of status migrainosus"
34830,"Encephalopathy, unspecified"
34839,Other encephalopathy
3484,Compression of brain
350,Trigeminal nerve disorders
3531,Lumbosacral plexus lesions
3572,Polyneuropathy in diabetes
3573,Polyneuropathy in malignant disease
35800,Myasthenia gravis without (ACUTE) exacerbation
35801,Myasthenia gravis with (ACUTE) exacerbation
36014,Ophthalmia nodosa
36020,"Degenerative disorder of globe, unspecified"
36024,Other metallosis of globe
36043,"Hemophthalmos, except current injury"
36055,"Foreign body, magnetic, in posterior wall"
36059,"Intraocular foreign body, magnetic, in other or multiple sites"
3608,Other disorders of globe
36103,"Recent retinal detachment, partial, with giant tear"
36114,Secondary retinal cysts
3623,Retinal vascular occlusion
36255,Toxic maculopathy
36265,Secondary pigmentary degeneration
66560,"Damage to pelvic joints and ligaments, unspecified as to episode of care or not applicable"
66593,"Unspecified obstetrical trauma, antepartum condition or complication"
66612,"Other immediate postpartum hemorrhage, delivered, with mention of postpartum complication"
66702,"Retained placenta without hemorrhage, delivered, with mention of postpartum complication"
6671,Retained portions of placenta or membranes without hemorrhage
66823,"Central nervous system complications of anesthesia or other sedation in labor and delivery, antepartum condition or complication"
6690,Maternal distress
66900,"Maternal distress complicating labor and delivery, unspecified as to episode of care or not applicable"
66914,"Shock during or following labor and delivery, postpartum condition or complication"
67024,"Puerperal sepsis, postpartum condition or complication"
67122,"Superficial thrombophlebitis complicating pregnancy and the puerperium, delivered, with mention of postpartum complication"
67183,"Other venous complications of pregnancy and the puerperium, antepartum condition or complication"
67301,"Obstetrical air embolism, delivered, with or without mention of antepartum condition"
6731,Amniotic fluid embolism
67312,"Amniotic fluid embolism, delivered, with mention of postpartum complication"
67313,"Amniotic fluid embolism, antepartum condition or complication"
67322,"Obstetrical blood-clot embolism, delivered, with mention of postpartum complication"
67400,"Cerebrovascular disorders in the puerperium, unspecified as to episode of care or not applicable"
67444,"Placental polyp, postpartum condition or complication"
67484,"Other complications of puerperium, postpartum condition or complication"
6750,Infections of nipple associated with childbirth
6751,Abscess of breast associated with childbirth
67511,"Abscess of breast associated with childbirth, delivered, with or without mention of antepartum condition"
67521,"Nonpurulent mastitis associated with childbirth, delivered, with or without mention of antepartum condition"
6768,Other disorders of lactation
6769,Unspecified disorder of lactation
68601,Pyoderma gangrenosum
6939,Dermatitis due to unspecified substance taken internally
6949,Unspecified bullous dermatoses
51630,"Idiopathic interstitial pneumonia, not otherwise specified"
51631,Idiopathic pulmonary fibrosis
51664,Alveolar capillary dysplasia with vein misalignment
5173,Acute chest syndrome
5180,Pulmonary collapse
5181,Interstitial emphysema
5185,Pulmonary insufficiency following trauma and surgery
5191,Other diseases of trachea and bronchus not elsewhere classified
5198,"Other diseases of respiratory system, not elsewhere classified"
52131,"Erosion, limited to enamel"
52134,"Erosion, localized"
52325,"Gingival recession, generalized"
5233,Aggressive and acute periodontitis
5234,Chronic periodontitis
52340,"Chronic periodontitis, unspecified"
52341,"Chronic periodontitis, localized"
5240,Major anomalies of jaw size
52411,"Anomalies of relationship of jaw to cranial base, maxillary asymmetry"
52424,Open anterior occlusal relationship
52460,"Temporomandibular joint disorders, unspecified"
52481,Anterior soft tissue impingement
5253,Retained dental root
52561,Open restoration margins
52567,Poor aesthetics of existing restoration
52569,Other unsatisfactory restoration of existing tooth
5274,Fistula of salivary gland
52801,Mucositis (ULCERATIVE) due to antineoplastic therapy
5295,Plicated tongue
53083,Esophageal leukoplakia
53101,"Acute gastric ulcer with hemorrhage, with obstruction"
5312,Acute gastric ulcer with hemorrhage and perforation
53311,"Acute peptic ulcer of unspecified site with perforation, with obstruction"
53320,"Acute peptic ulcer of unspecified site with hemorrhage and perforation, without mention of obstruction"
53330,"Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, without mention of obstruction"
53531,"Alcoholic gastritis, with hemorrhage"
5354,Other specified gastritis
5236,Accretions on teeth
52407,Excessive tuberosity of jaw
52422,"Malocclusion, angle's class II"
52453,Deviation in opening and closing of the mandible
5246,Temporomandibular joint disorders
52462,"Temporomandibular joint disorders, arthralgia of temporomandibular joint"
52479,Other specified alveolar anomaly
525,Other diseases and conditions of the teeth and supporting structures
52521,Minimal atrophy of the mandible
52523,Severe atrophy of the mandible
5259,Unspecified disorder of the teeth and supporting structures
5264,Inflammatory conditions of jaw
52661,Perforation of root canal space
53011,Reflux esophagitis
5309,Unspecified disorder of esophagus
53140,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction"
53171,"Chronic gastric ulcer without mention of hemorrhage or perforation, with obstruction"
53191,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, with obstruction"
53220,"Acute duodenal ulcer with hemorrhage and perforation, without mention of obstruction"
53251,"Chronic or unspecified duodenal ulcer with perforation, with obstruction"
53341,"Chronic or unspecified peptic ulcer of unspecified site with hemorrhage, with obstruction"
5337,Chronic peptic ulcer of unspecified site without mention of hemorrhage or perforation
53421,"Acute gastrojejunal ulcer with hemorrhage and perforation, with obstruction"
5360,Achlorhydria
5368,Dyspepsia and other specified disorders of function of stomach
5390,Complications of gastric band procedure
5409,Acute appendicitis without mention of peritonitis
53331,"Acute peptic ulcer of unspecified site without mention of hemorrhage and perforation, with obstruction"
53361,"Chronic or unspecified peptic ulcer of unspecified site with hemorrhage and perforation, with obstruction"
5347,Chronic gastrojejunal ulcer without mention of hemorrhage or perforation
5350,Acute gastritis
53510,"Atrophic gastritis, without mention of hemorrhage"
5353,Alcoholic gastritis
53561,"Duodenitis, with hemorrhage"
